10 100 840 6 0
0 0.0 0 0.0 840 840
1 2.0 1 425.0 440.0 14.77
2 2.0 2 100.0 115.0 20.53
3 2.0 1 90.0 105.0 16.7
4 2.0 1 135.0 150.0 41.8
5 2.0 1 200.0 215.0 29.97
6 2.0 1 405.0 420.0 37.5
7 2.0 1 215.0 230.0 55.77
8 2.0 1 280.0 295.0 49.73
9 2.0 1 360.0 375.0 70.8
10 2.0 1 355.0 370.0 42.45
11 2.0 2 520.0 535.0 56.67
12 2.0 2 310.0 325.0 54.33
13 2.0 1 245.0 260.0 43.83
14 2.0 1 115.0 130.0 44.47
15 2.0 1 470.0 485.0 54.32
16 2.0 2 100.0 115.0 53.58
17 2.0 1 380.0 395.0 29.32
18 2.0 1 450.0 465.0 30.68
19 2.0 1 155.0 170.0 81.5
20 2.0 1 220.0 235.0 66.8
21 2.0 1 135.0 150.0 16.7
22 2.0 1 235.0 250.0 65.02
23 2.0 1 105.0 120.0 50.0
24 2.0 1 280.0 295.0 62.83
25 2.0 1 490.0 505.0 59.6
26 2.0 2 245.0 260.0 48.53
27 2.0 1 535.0 550.0 51.37
28 2.0 2 490.0 505.0 72.17
29 2.0 2 465.0 480.0 45.48
30 2.0 2 410.0 425.0 59.58
31 2.0 1 430.0 445.0 21.83
32 2.0 1 375.0 390.0 67.5
33 2.0 1 375.0 390.0 36.37
34 2.0 1 520.0 535.0 64.27
35 2.0 1 170.0 185.0 70.8
36 2.0 1 100.0 115.0 64.65
37 2.0 1 480.0 495.0 48.57
38 2.0 1 290.0 305.0 35.77
39 2.0 1 345.0 360.0 36.77
40 2.0 1 310.0 325.0 56.15
41 2.0 1 95.0 110.0 37.85
42 2.0 1 570.0 585.0 30.15
43 2.0 3 300.0 315.0 20.53
44 2.0 1 175.0 190.0 33.85
45 2.0 1 80.0 95.0 52.18
46 2.0 1 525.0 540.0 32.55
47 2.0 1 310.0 325.0 45.05
48 2.0 1 195.0 210.0 49.32
49 2.0 1 480.0 495.0 48.53
50 2.0 1 450.0 465.0 81.5
51 2.0 -1 429.77 454.77 14.77
52 2.0 -2 107.53 135.53 20.53
53 2.0 -1 95.7 121.7 16.7
54 2.0 -1 156.8 191.8 41.8
55 2.0 -1 212.97 244.97 29.97
56 2.0 -1 423.5 457.5 37.5
57 2.0 -1 247.77 285.77 55.77
58 2.0 -1 307.73 344.73 49.73
59 2.0 -1 405.8 445.8 70.8
60 2.0 -1 377.45 412.45 42.45
61 2.0 -2 553.67 591.67 56.67
62 2.0 -2 341.33 379.33 54.33
63 2.0 -1 267.83 303.83 43.83
64 2.0 -1 138.47 174.47 44.47
65 2.0 -1 501.32 539.32 54.32
66 2.0 -2 130.58 168.58 53.58
67 2.0 -1 392.32 424.32 29.32
68 2.0 -1 463.68 495.68 30.68
69 2.0 -1 210.5 251.5 81.5
70 2.0 -1 261.8 301.8 66.8
71 2.0 -1 140.7 166.7 16.7
72 2.0 -1 276.02 315.02 65.02
73 2.0 -1 133.0 170.0 50.0
74 2.0 -1 318.83 357.83 62.83
75 2.0 -1 525.6 564.6 59.6
76 2.0 -2 271.53 308.53 48.53
77 2.0 -1 564.37 601.37 51.37
78 2.0 -2 537.17 577.17 72.17
79 2.0 -2 489.48 525.48 45.48
80 2.0 -2 445.58 484.58 59.58
81 2.0 -1 437.83 466.83 21.83
82 2.0 -1 417.5 457.5 67.5
83 2.0 -1 392.37 426.37 36.37
84 2.0 -1 560.27 599.27 64.27
85 2.0 -1 215.8 255.8 70.8
86 2.0 -1 140.65 179.65 64.65
87 2.0 -1 506.57 543.57 48.57
88 2.0 -1 306.77 340.77 35.77
89 2.0 -1 362.77 396.77 36.77
90 2.0 -1 343.15 381.15 56.15
91 2.0 -1 113.85 147.85 37.85
92 2.0 -1 583.15 615.15 30.15
93 2.0 -3 307.53 335.53 20.53
94 2.0 -1 190.85 223.85 33.85
95 2.0 -1 110.18 147.18 52.18
96 2.0 -1 539.55 572.55 32.55
97 2.0 -1 334.05 370.05 45.05
98 2.0 -1 222.32 259.32 49.32
99 2.0 -1 506.53 543.53 48.53
100 2.0 -1 505.5 546.5 81.5
101 0.0 0 0.0 840 840
