10 180 660 6 0
0 0.0 0 0.0 660 660
1 2.0 1 140.0 155.0 57.92
2 2.0 1 265.0 280.0 29.32
3 2.0 1 245.0 260.0 41.47
4 2.0 1 295.0 310.0 80.77
5 2.0 1 400.0 415.0 81.5
6 2.0 1 65.0 80.0 29.77
7 2.0 1 280.0 295.0 20.53
8 2.0 1 300.0 315.0 37.52
9 2.0 2 170.0 185.0 19.97
10 2.0 1 185.0 200.0 49.05
11 2.0 1 85.0 100.0 33.72
12 2.0 1 350.0 365.0 44.93
13 2.0 1 170.0 185.0 47.05
14 2.0 1 210.0 225.0 48.53
15 2.0 1 370.0 385.0 70.9
16 2.0 1 195.0 210.0 22.65
17 2.0 1 200.0 215.0 42.18
18 2.0 1 300.0 315.0 32.82
19 2.0 1 280.0 295.0 51.4
20 2.0 1 240.0 255.0 30.08
21 2.0 1 175.0 190.0 16.7
22 2.0 1 385.0 400.0 60.92
23 2.0 1 405.0 420.0 20.53
24 2.0 1 340.0 355.0 46.05
25 2.0 1 160.0 175.0 34.07
26 2.0 1 220.0 235.0 44.1
27 2.0 1 95.0 110.0 45.48
28 2.0 2 135.0 150.0 20.53
29 2.0 3 275.0 290.0 51.4
30 2.0 1 375.0 390.0 52.27
31 2.0 1 340.0 355.0 52.37
32 2.0 1 405.0 420.0 55.7
33 2.0 1 185.0 200.0 30.63
34 2.0 1 285.0 300.0 70.9
35 2.0 1 160.0 175.0 73.12
36 2.0 1 75.0 90.0 60.92
37 2.0 1 135.0 150.0 51.57
38 2.0 1 225.0 240.0 69.07
39 2.0 1 90.0 105.0 29.77
40 2.0 2 320.0 335.0 55.58
41 2.0 2 350.0 365.0 32.55
42 2.0 1 255.0 270.0 42.18
43 2.0 1 195.0 210.0 55.0
44 2.0 2 90.0 105.0 37.85
45 2.0 1 140.0 155.0 49.17
46 2.0 1 75.0 90.0 37.07
47 2.0 1 115.0 130.0 54.07
48 2.0 2 175.0 190.0 48.57
49 2.0 1 415.0 430.0 57.92
50 2.0 2 385.0 400.0 22.47
51 2.0 1 255.0 270.0 80.77
52 2.0 1 180.0 195.0 20.53
53 2.0 1 235.0 250.0 45.27
54 2.0 1 90.0 105.0 17.8
55 2.0 1 215.0 230.0 45.03
56 2.0 1 260.0 275.0 56.0
57 2.0 1 150.0 165.0 17.8
58 2.0 1 165.0 180.0 45.05
59 2.0 1 405.0 420.0 37.85
60 2.0 1 170.0 185.0 36.92
61 2.0 1 195.0 210.0 46.9
62 2.0 1 85.0 100.0 49.32
63 2.0 1 105.0 120.0 29.77
64 2.0 1 100.0 115.0 55.67
65 2.0 1 315.0 330.0 20.53
66 2.0 1 285.0 300.0 47.15
67 2.0 1 330.0 345.0 43.72
68 2.0 1 350.0 365.0 48.72
69 2.0 1 365.0 380.0 69.22
70 2.0 2 340.0 355.0 45.27
71 2.0 1 105.0 120.0 41.93
72 2.0 2 380.0 395.0 48.98
73 2.0 1 185.0 200.0 37.85
74 2.0 1 75.0 90.0 40.62
75 2.0 1 150.0 165.0 29.97
76 2.0 1 135.0 150.0 14.92
77 2.0 1 390.0 405.0 20.53
78 2.0 1 80.0 95.0 41.35
79 2.0 1 220.0 235.0 42.33
80 2.0 1 335.0 350.0 64.7
81 2.0 1 170.0 185.0 49.05
82 2.0 1 125.0 140.0 70.35
83 2.0 1 150.0 165.0 69.38
84 2.0 1 60.0 75.0 75.22
85 2.0 1 125.0 140.0 55.23
86 2.0 1 70.0 85.0 41.03
87 2.0 1 355.0 370.0 37.72
88 2.0 1 160.0 175.0 37.97
89 2.0 1 360.0 375.0 41.62
90 2.0 1 270.0 285.0 75.77
91 2.0 -1 174.92 212.92 57.92
92 2.0 -1 277.32 309.32 29.32
93 2.0 -1 266.47 301.47 41.47
94 2.0 -1 349.77 390.77 80.77
95 2.0 -1 455.5 496.5 81.5
96 2.0 -1 77.77 109.77 29.77
97 2.0 -1 287.53 315.53 20.53
98 2.0 -1 318.52 352.52 37.52
99 2.0 -2 176.97 204.97 19.97
100 2.0 -1 212.05 249.05 49.05
101 2.0 -1 100.72 133.72 33.72
102 2.0 -1 373.93 409.93 44.93
103 2.0 -1 196.05 232.05 47.05
104 2.0 -1 236.53 273.53 48.53
105 2.0 -1 415.9 455.9 70.9
106 2.0 -1 203.65 232.65 22.65
107 2.0 -1 222.18 257.18 42.18
108 2.0 -1 314.82 347.82 32.82
109 2.0 -1 309.4 346.4 51.4
110 2.0 -1 253.08 285.08 30.08
111 2.0 -1 180.7 206.7 16.7
112 2.0 -1 421.92 460.92 60.92
113 2.0 -1 412.53 440.53 20.53
114 2.0 -1 365.05 401.05 46.05
115 2.0 -1 176.07 209.07 34.07
116 2.0 -1 243.1 279.1 44.1
117 2.0 -1 119.48 155.48 45.48
118 2.0 -2 142.53 170.53 20.53
119 2.0 -3 304.4 341.4 51.4
120 2.0 -1 405.27 442.27 52.27
121 2.0 -1 370.37 407.37 52.37
122 2.0 -1 437.7 475.7 55.7
123 2.0 -1 198.63 230.63 30.63
124 2.0 -1 330.9 370.9 70.9
125 2.0 -1 208.12 248.12 73.12
126 2.0 -1 111.92 150.92 60.92
127 2.0 -1 164.57 201.57 51.57
128 2.0 -1 269.07 309.07 69.07
129 2.0 -1 102.77 134.77 29.77
130 2.0 -2 352.58 390.58 55.58
131 2.0 -2 364.55 397.55 32.55
132 2.0 -1 277.18 312.18 42.18
133 2.0 -1 227.0 265.0 55.0
134 2.0 -2 108.85 142.85 37.85
135 2.0 -1 167.17 204.17 49.17
136 2.0 -1 93.07 127.07 37.07
137 2.0 -1 146.07 184.07 54.07
138 2.0 -2 201.57 238.57 48.57
139 2.0 -1 449.92 487.92 57.92
140 2.0 -2 393.47 422.47 22.47
141 2.0 -1 309.77 350.77 80.77
142 2.0 -1 187.53 215.53 20.53
143 2.0 -1 259.27 295.27 45.27
144 2.0 -1 95.8 122.8 17.8
145 2.0 -1 239.03 275.03 45.03
146 2.0 -1 293.0 331.0 56.0
147 2.0 -1 155.8 182.8 17.8
148 2.0 -1 189.05 225.05 45.05
149 2.0 -1 423.85 457.85 37.85
150 2.0 -1 187.92 221.92 36.92
151 2.0 -1 220.9 256.9 46.9
152 2.0 -1 112.32 149.32 49.32
153 2.0 -1 117.77 149.77 29.77
154 2.0 -1 132.67 170.67 55.67
155 2.0 -1 322.53 350.53 20.53
156 2.0 -1 311.15 347.15 47.15
157 2.0 -1 352.72 388.72 43.72
158 2.0 -1 376.72 413.72 48.72
159 2.0 -1 409.22 449.22 69.22
160 2.0 -2 364.27 400.27 45.27
161 2.0 -1 126.93 161.93 41.93
162 2.0 -2 406.98 443.98 48.98
163 2.0 -1 203.85 237.85 37.85
164 2.0 -1 95.62 130.62 40.62
165 2.0 -1 162.97 194.97 29.97
166 2.0 -1 139.92 164.92 14.92
167 2.0 -1 397.53 425.53 20.53
168 2.0 -1 101.35 136.35 41.35
169 2.0 -1 242.33 277.33 42.33
170 2.0 -1 375.7 414.7 64.7
171 2.0 -1 197.05 234.05 49.05
172 2.0 -1 170.35 210.35 70.35
173 2.0 -1 194.38 234.38 69.38
174 2.0 -1 109.22 150.22 75.22
