10 120 480 6 0
0 0.0 0 0.0 480 480
1 2.0 1 75.0 90.0 44.03
2 2.0 1 70.0 85.0 52.38
3 2.0 2 85.0 100.0 73.12
4 2.0 1 85.0 100.0 30.08
5 2.0 2 190.0 205.0 60.8
6 2.0 2 215.0 230.0 37.18
7 2.0 2 100.0 115.0 41.98
8 2.0 1 165.0 180.0 65.03
9 2.0 1 190.0 205.0 47.15
10 2.0 1 160.0 175.0 20.53
11 2.0 2 90.0 105.0 48.83
12 2.0 1 155.0 170.0 35.77
13 2.0 1 95.0 110.0 65.02
14 2.0 1 80.0 95.0 32.82
15 2.0 1 205.0 220.0 72.17
16 2.0 1 155.0 170.0 22.2
17 2.0 1 60.0 75.0 54.07
18 2.0 2 205.0 220.0 50.85
19 2.0 1 225.0 240.0 50.0
20 2.0 2 115.0 130.0 49.17
21 2.0 1 75.0 90.0 64.2
22 2.0 1 170.0 185.0 49.47
23 2.0 1 230.0 245.0 52.27
24 2.0 1 205.0 220.0 41.35
25 2.0 1 80.0 95.0 25.52
26 2.0 1 230.0 245.0 32.55
27 2.0 2 100.0 115.0 45.48
28 2.0 1 140.0 155.0 37.85
29 2.0 1 65.0 80.0 50.78
30 2.0 1 125.0 140.0 41.35
31 2.0 1 85.0 100.0 64.27
32 2.0 1 155.0 170.0 20.53
33 2.0 1 110.0 125.0 32.92
34 2.0 1 60.0 75.0 61.22
35 2.0 1 155.0 170.0 40.15
36 2.0 1 80.0 95.0 34.07
37 2.0 1 125.0 140.0 36.75
38 2.0 1 160.0 175.0 37.18
39 2.0 1 75.0 90.0 29.97
40 2.0 1 130.0 145.0 56.13
41 2.0 2 70.0 85.0 41.47
42 2.0 2 60.0 75.0 69.22
43 2.0 2 150.0 165.0 63.65
44 2.0 1 235.0 250.0 34.07
45 2.0 2 205.0 220.0 55.53
46 2.0 2 110.0 125.0 59.58
47 2.0 2 165.0 180.0 21.83
48 2.0 2 240.0 255.0 48.32
49 2.0 1 155.0 170.0 50.0
50 2.0 1 140.0 155.0 45.68
51 2.0 1 200.0 215.0 76.13
52 2.0 1 175.0 190.0 79.18
53 2.0 1 205.0 220.0 49.12
54 2.0 1 190.0 205.0 51.25
55 2.0 1 90.0 105.0 22.47
56 2.0 2 95.0 110.0 61.53
57 2.0 1 195.0 210.0 78.73
58 2.0 1 205.0 220.0 61.77
59 2.0 2 140.0 155.0 36.75
60 2.0 1 70.0 85.0 44.62
61 2.0 -1 98.03 134.03 44.03
62 2.0 -1 100.38 137.38 52.38
63 2.0 -2 133.12 173.12 73.12
64 2.0 -1 98.08 130.08 30.08
65 2.0 -2 226.8 265.8 60.8
66 2.0 -2 233.18 267.18 37.18
67 2.0 -2 121.98 156.98 41.98
68 2.0 -1 206.03 245.03 65.03
69 2.0 -1 216.15 252.15 47.15
70 2.0 -1 167.53 195.53 20.53
71 2.0 -2 116.83 153.83 48.83
72 2.0 -1 171.77 205.77 35.77
73 2.0 -1 136.02 175.02 65.02
74 2.0 -1 94.82 127.82 32.82
75 2.0 -1 252.17 292.17 72.17
76 2.0 -1 163.2 192.2 22.2
77 2.0 -1 91.07 129.07 54.07
78 2.0 -2 233.85 270.85 50.85
79 2.0 -1 253.0 290.0 50.0
80 2.0 -2 142.17 179.17 49.17
81 2.0 -1 115.2 154.2 64.2
82 2.0 -1 197.47 234.47 49.47
83 2.0 -1 260.27 297.27 52.27
84 2.0 -1 226.35 261.35 41.35
85 2.0 -1 90.52 120.52 25.52
86 2.0 -1 244.55 277.55 32.55
87 2.0 -2 124.48 160.48 45.48
88 2.0 -1 158.85 192.85 37.85
89 2.0 -1 93.78 130.78 50.78
90 2.0 -1 146.35 181.35 41.35
91 2.0 -1 125.27 164.27 64.27
92 2.0 -1 162.53 190.53 20.53
93 2.0 -1 124.92 157.92 32.92
94 2.0 -1 97.22 136.22 61.22
95 2.0 -1 175.15 210.15 40.15
96 2.0 -1 96.07 129.07 34.07
97 2.0 -1 142.75 176.75 36.75
98 2.0 -1 178.18 212.18 37.18
99 2.0 -1 87.97 119.97 29.97
100 2.0 -1 163.13 201.13 56.13
101 2.0 -2 91.47 126.47 41.47
102 2.0 -2 104.22 144.22 69.22
103 2.0 -2 189.65 228.65 63.65
104 2.0 -1 251.07 284.07 34.07
105 2.0 -2 237.53 275.53 55.53
106 2.0 -2 145.58 184.58 59.58
107 2.0 -2 172.83 201.83 21.83
108 2.0 -2 266.32 303.32 48.32
109 2.0 -1 183.0 220.0 50.0
110 2.0 -1 164.68 200.68 45.68
111 2.0 -1 250.13 291.13 76.13
112 2.0 -1 228.18 269.18 79.18
113 2.0 -1 232.12 269.12 49.12
114 2.0 -1 219.25 256.25 51.25
115 2.0 -1 98.47 127.47 22.47
116 2.0 -2 132.53 171.53 61.53
117 2.0 -1 247.73 288.73 78.73
118 2.0 -1 242.77 281.77 61.77
119 2.0 -2 157.75 191.75 36.75
120 2.0 -1 93.62 129.62 44.62
121 0.0 0 0.0 480 480
