4 40 840 6 0
0 0.0 0 0.0 840 840
1 2.0 1 420.0 435.0 11.28
2 2.0 1 85.0 100.0 48.78
3 2.0 2 90.0 105.0 42.08
4 2.0 1 190.0 205.0 30.65
5 2.0 2 100.0 115.0 37.22
6 2.0 1 170.0 185.0 41.08
7 2.0 1 150.0 165.0 27.08
8 2.0 1 275.0 290.0 41.08
9 2.0 1 395.0 410.0 38.23
10 2.0 1 400.0 415.0 45.33
11 2.0 1 305.0 320.0 42.08
12 2.0 1 585.0 600.0 37.22
13 2.0 1 410.0 425.0 20.3
14 2.0 1 130.0 145.0 37.77
15 2.0 1 375.0 390.0 14.57
16 2.0 1 480.0 495.0 25.23
17 2.0 1 295.0 310.0 24.82
18 2.0 1 250.0 265.0 37.27
19 2.0 2 295.0 310.0 36.23
20 2.0 1 130.0 145.0 42.08
21 2.0 -1 423.28 446.28 11.28
22 2.0 -1 111.78 148.78 48.78
23 2.0 -2 112.08 147.08 42.08
24 2.0 -1 203.65 235.65 30.65
25 2.0 -2 118.22 152.22 37.22
26 2.0 -1 191.08 226.08 41.08
27 2.0 -1 161.08 192.08 27.08
28 2.0 -1 296.08 331.08 41.08
29 2.0 -1 414.23 448.23 38.23
30 2.0 -1 424.33 460.33 45.33
31 2.0 -1 327.08 362.08 42.08
32 2.0 -1 603.22 637.22 37.22
33 2.0 -1 417.3 445.3 20.3
34 2.0 -1 148.77 182.77 37.77
35 2.0 -1 379.57 404.57 14.57
36 2.0 -1 490.23 520.23 25.23
37 2.0 -1 304.82 334.82 24.82
38 2.0 -1 268.27 302.27 37.27
39 2.0 -2 312.23 346.23 36.23
40 2.0 -1 152.08 187.08 42.08
41 0.0 0 0.0 840 840
