4 20 660 6 0
0 0.0 0 0.0 660 660
1 2.0 1 350.0 365.0 29.37
2 2.0 1 85.0 100.0 18.63
3 2.0 1 160.0 175.0 11.28
4 2.0 1 170.0 185.0 14.57
5 2.0 1 85.0 100.0 42.08
6 2.0 1 105.0 120.0 11.28
7 2.0 2 380.0 395.0 14.87
8 2.0 1 60.0 75.0 33.93
9 2.0 1 200.0 215.0 34.37
10 2.0 1 415.0 430.0 17.85
11 2.0 -1 362.37 394.37 29.37
12 2.0 -1 91.63 118.63 18.63
13 2.0 -1 163.28 186.28 11.28
14 2.0 -1 174.57 199.57 14.57
15 2.0 -1 107.08 142.08 42.08
16 2.0 -1 108.28 131.28 11.28
17 2.0 -2 384.87 409.87 14.87
18 2.0 -1 75.93 108.93 33.93
19 2.0 -1 216.37 249.37 34.37
20 2.0 -1 420.85 447.85 17.85
21 0.0 0 0.0 660 660
