8 60 840 6 0
0 0.0 0 0.0 840 840
1 2.0 1 570.0 585.0 51.4
2 2.0 1 510.0 525.0 27.5
3 2.0 1 455.0 470.0 43.87
4 2.0 1 520.0 535.0 45.8
5 2.0 2 575.0 590.0 35.63
6 2.0 2 130.0 145.0 44.28
7 2.0 1 120.0 135.0 57.88
8 2.0 1 215.0 230.0 49.85
9 2.0 2 230.0 245.0 45.45
10 2.0 1 550.0 565.0 14.57
11 2.0 1 480.0 495.0 20.45
12 2.0 2 240.0 255.0 60.73
13 2.0 1 515.0 530.0 44.82
14 2.0 1 365.0 380.0 37.07
15 2.0 1 165.0 180.0 42.2
16 2.0 2 345.0 360.0 49.2
17 2.0 1 325.0 340.0 43.87
18 2.0 1 295.0 310.0 49.73
19 2.0 1 95.0 110.0 44.32
20 2.0 1 215.0 230.0 22.55
21 2.0 1 125.0 140.0 45.38
22 2.0 1 445.0 460.0 51.58
23 2.0 1 405.0 420.0 58.37
24 2.0 1 265.0 280.0 34.37
25 2.0 1 515.0 530.0 30.48
26 2.0 1 200.0 215.0 27.37
27 2.0 1 510.0 525.0 39.53
28 2.0 1 285.0 300.0 25.13
29 2.0 2 525.0 540.0 26.62
30 2.0 1 90.0 105.0 46.23
31 2.0 -1 599.4 636.4 51.4
32 2.0 -1 521.5 552.5 27.5
33 2.0 -1 477.87 513.87 43.87
34 2.0 -1 544.8 580.8 45.8
35 2.0 -2 591.63 625.63 35.63
36 2.0 -2 153.28 189.28 44.28
37 2.0 -1 154.88 192.88 57.88
38 2.0 -1 242.85 279.85 49.85
39 2.0 -2 254.45 290.45 45.45
40 2.0 -1 554.57 579.57 14.57
41 2.0 -1 487.45 515.45 20.45
42 2.0 -2 276.73 315.73 60.73
43 2.0 -1 538.82 574.82 44.82
44 2.0 -1 383.07 417.07 37.07
45 2.0 -1 187.2 222.2 42.2
46 2.0 -2 372.2 409.2 49.2
47 2.0 -1 347.87 383.87 43.87
48 2.0 -1 322.73 359.73 49.73
49 2.0 -1 118.32 154.32 44.32
50 2.0 -1 223.55 252.55 22.55
51 2.0 -1 149.38 185.38 45.38
52 2.0 -1 474.58 511.58 51.58
53 2.0 -1 440.37 478.37 58.37
54 2.0 -1 281.37 314.37 34.37
55 2.0 -1 528.48 560.48 30.48
56 2.0 -1 211.37 242.37 27.37
57 2.0 -1 529.53 564.53 39.53
58 2.0 -1 295.13 325.13 25.13
59 2.0 -2 535.62 566.62 26.62
60 2.0 -1 115.23 151.23 46.23
61 0.0 0 0.0 840 840
