4 160 660 6 0
0 0.0 0 0.0 660 660
1 2.0 1 320.0 335.0 20.72
2 2.0 1 165.0 180.0 9.7
3 2.0 1 205.0 220.0 40.7
4 2.0 1 330.0 345.0 22.92
5 2.0 1 115.0 130.0 24.37
6 2.0 1 375.0 390.0 29.95
7 2.0 1 145.0 160.0 27.78
8 2.0 1 390.0 405.0 41.0
9 2.0 1 410.0 425.0 48.38
10 2.0 1 175.0 190.0 40.8
11 2.0 1 165.0 180.0 35.85
12 2.0 1 320.0 335.0 27.62
13 2.0 1 390.0 405.0 37.05
14 2.0 1 270.0 285.0 36.53
15 2.0 1 220.0 235.0 36.05
16 2.0 1 145.0 160.0 40.7
17 2.0 1 105.0 120.0 22.92
18 2.0 2 145.0 160.0 27.32
19 2.0 1 100.0 115.0 27.98
20 2.0 1 235.0 250.0 22.92
21 2.0 1 280.0 295.0 21.92
22 2.0 2 275.0 290.0 20.72
23 2.0 1 130.0 145.0 32.6
24 2.0 1 390.0 405.0 32.6
25 2.0 1 415.0 430.0 16.47
26 2.0 1 240.0 255.0 48.58
27 2.0 2 125.0 140.0 37.55
28 2.0 1 405.0 420.0 46.35
29 2.0 2 60.0 75.0 14.77
30 2.0 1 140.0 155.0 20.72
31 2.0 1 205.0 220.0 16.47
32 2.0 1 340.0 355.0 48.38
33 2.0 1 285.0 300.0 39.65
34 2.0 1 245.0 260.0 45.13
35 2.0 1 225.0 240.0 20.72
36 2.0 1 160.0 175.0 39.5
37 2.0 1 370.0 385.0 24.83
38 2.0 1 365.0 380.0 48.58
39 2.0 1 250.0 265.0 24.45
40 2.0 2 65.0 80.0 48.38
41 2.0 1 340.0 355.0 34.4
42 2.0 1 380.0 395.0 16.47
43 2.0 1 305.0 320.0 24.45
44 2.0 1 115.0 130.0 32.53
45 2.0 1 380.0 395.0 32.53
46 2.0 1 245.0 260.0 37.87
47 2.0 1 260.0 275.0 37.53
48 2.0 1 350.0 365.0 22.92
49 2.0 1 300.0 315.0 16.47
50 2.0 2 215.0 230.0 24.13
51 2.0 1 180.0 195.0 36.25
52 2.0 1 365.0 380.0 16.47
53 2.0 1 140.0 155.0 29.57
54 2.0 1 100.0 115.0 14.5
55 2.0 1 250.0 265.0 37.55
56 2.0 1 410.0 425.0 41.0
57 2.0 1 260.0 275.0 27.98
58 2.0 1 385.0 400.0 29.38
59 2.0 1 255.0 270.0 24.62
60 2.0 1 65.0 80.0 32.53
