6 20 480 6 0
0 0.0 0 0.0 480 480
1 2.0 1 165.0 180.0 16.47
2 2.0 1 85.0 100.0 16.47
3 2.0 1 230.0 245.0 45.13
4 2.0 1 170.0 185.0 16.47
5 2.0 1 165.0 180.0 36.33
6 2.0 2 65.0 80.0 47.08
7 2.0 1 210.0 225.0 27.62
8 2.0 1 180.0 195.0 45.13
9 2.0 1 90.0 105.0 20.0
10 2.0 1 80.0 95.0 43.62
11 2.0 -1 170.47 196.47 16.47
12 2.0 -1 90.47 116.47 16.47
13 2.0 -1 254.13 290.13 45.13
14 2.0 -1 175.47 201.47 16.47
15 2.0 -1 182.33 216.33 36.33
16 2.0 -2 91.08 127.08 47.08
17 2.0 -1 221.62 252.62 27.62
18 2.0 -1 204.13 240.13 45.13
19 2.0 -1 97.0 125.0 20.0
20 2.0 -1 102.62 138.62 43.62
21 0.0 0 0.0 480 480
