10 60 840 6 0
0 0.0 0 0.0 840 840
1 2.0 1 330.0 345.0 37.1
2 2.0 1 280.0 295.0 36.18
3 2.0 1 560.0 575.0 42.08
4 2.0 2 195.0 210.0 39.67
5 2.0 1 365.0 380.0 55.97
6 2.0 1 305.0 320.0 32.47
7 2.0 1 290.0 305.0 40.5
8 2.0 2 215.0 230.0 31.1
9 2.0 2 435.0 450.0 46.45
10 2.0 1 105.0 120.0 59.87
11 2.0 2 175.0 190.0 37.65
12 2.0 3 225.0 240.0 51.05
13 2.0 2 455.0 470.0 43.98
14 2.0 1 105.0 120.0 46.63
15 2.0 1 310.0 325.0 33.82
16 2.0 1 375.0 390.0 49.38
17 2.0 1 305.0 320.0 51.87
18 2.0 1 270.0 285.0 24.37
19 2.0 1 140.0 155.0 40.15
20 2.0 1 515.0 530.0 27.78
21 2.0 1 80.0 95.0 32.47
22 2.0 1 510.0 525.0 36.48
23 2.0 1 335.0 350.0 49.97
24 2.0 1 395.0 410.0 53.67
25 2.0 1 595.0 610.0 33.08
26 2.0 2 260.0 275.0 18.43
27 2.0 1 415.0 430.0 27.23
28 2.0 1 200.0 215.0 45.15
29 2.0 3 170.0 185.0 36.82
30 2.0 1 415.0 430.0 37.02
31 2.0 -1 348.1 382.1 37.1
32 2.0 -1 297.18 331.18 36.18
33 2.0 -1 582.08 617.08 42.08
34 2.0 -2 214.67 249.67 39.67
35 2.0 -1 397.97 435.97 55.97
36 2.0 -1 319.47 352.47 32.47
37 2.0 -1 310.5 345.5 40.5
38 2.0 -2 229.1 261.1 31.1
39 2.0 -2 460.45 496.45 46.45
40 2.0 -1 140.87 179.87 59.87
41 2.0 -2 193.65 227.65 37.65
42 2.0 -3 254.05 291.05 51.05
43 2.0 -2 477.98 513.98 43.98
44 2.0 -1 130.63 166.63 46.63
45 2.0 -1 325.82 358.82 33.82
46 2.0 -1 402.38 439.38 49.38
47 2.0 -1 334.87 371.87 51.87
48 2.0 -1 279.37 309.37 24.37
49 2.0 -1 160.15 195.15 40.15
50 2.0 -1 526.78 557.78 27.78
51 2.0 -1 94.47 127.47 32.47
52 2.0 -1 527.48 561.48 36.48
53 2.0 -1 362.97 399.97 49.97
54 2.0 -1 425.67 463.67 53.67
55 2.0 -1 610.08 643.08 33.08
56 2.0 -2 266.43 293.43 18.43
57 2.0 -1 426.23 457.23 27.23
58 2.0 -1 224.15 260.15 45.15
59 2.0 -3 187.82 221.82 36.82
60 2.0 -1 433.02 467.02 37.02
61 0.0 0 0.0 840 840
