id, arrivalTime, startTime, pickUp, dropOff, amount
0,07:00:00,10:55:00,0,20,1
1,07:00:00,09:20:00,16,11,2
2,07:00:00,09:45:00,10,19,2
3,07:00:00,09:15:00,9,20,1
4,07:00:00,08:15:00,5,2,1
5,07:00:00,09:20:00,17,19,1
6,07:00:00,08:10:00,17,11,1
7,08:15:00,10:45:00,18,19,1
8,08:50:00,10:50:00,7,3,1
9,07:00:00,09:00:00,19,20,1
10,07:00:00,08:25:00,14,13,1
11,07:00:00,09:30:00,17,14,1
12,07:00:00,09:20:00,4,3,1
13,07:00:00,10:00:00,15,12,2
14,07:00:00,10:25:00,16,7,1
15,08:15:00,10:10:00,1,6,1
16,07:00:00,10:40:00,11,9,1
17,07:00:00,09:00:00,18,13,1
18,07:00:00,09:35:00,14,1,1
19,07:15:00,08:15:00,1,15,1
20,09:25:00,10:55:00,15,12,1
21,07:00:00,09:40:00,20,11,1
22,07:00:00,10:55:00,19,14,2
23,07:00:00,09:40:00,0,12,1
24,07:00:00,10:40:00,12,18,1
25,08:35:00,10:25:00,18,3,1
26,07:00:00,09:05:00,13,10,1
27,07:00:00,09:05:00,8,13,1
28,07:00:00,08:20:00,1,19,1
29,09:20:00,10:35:00,12,3,2
30,07:00:00,09:15:00,11,3,1
31,07:00:00,09:05:00,6,2,2
32,08:40:00,10:35:00,5,16,1
33,07:00:00,09:15:00,14,11,1
34,09:00:00,10:00:00,20,5,1
35,07:00:00,08:50:00,17,12,1
36,07:00:00,11:00:00,16,7,1
37,07:00:00,10:00:00,15,9,2
38,07:00:00,09:35:00,17,13,1
39,07:05:00,09:15:00,0,19,1
