id, arrivalTime, startTime, pickUp, dropOff, amount
0,07:00:00,08:35:00,7,9,1
1,07:00:00,13:25:00,31,30,1
2,07:00:00,16:15:00,12,11,1
3,07:00:00,09:25:00,8,4,1
4,07:00:00,14:20:00,26,6,1
5,07:00:00,10:45:00,5,19,1
6,07:00:00,09:50:00,19,18,1
7,08:10:00,11:05:00,15,6,2
8,07:00:00,08:15:00,10,16,2
9,07:00:00,11:55:00,14,10,1
10,07:00:00,11:35:00,29,6,2
11,12:55:00,15:40:00,11,26,1
12,09:05:00,14:25:00,12,16,1
13,07:00:00,13:35:00,4,28,1
14,07:00:00,08:40:00,1,21,1
15,07:00:00,08:45:00,17,30,1
16,07:00:00,09:20:00,29,12,1
17,11:20:00,15:00:00,30,9,1
18,07:00:00,14:10:00,4,21,2
19,08:20:00,14:00:00,27,25,1
20,07:00:00,09:30:00,16,6,1
21,07:00:00,13:35:00,4,22,1
22,13:20:00,16:45:00,9,23,1
23,07:00:00,12:10:00,19,23,1
24,07:00:00,14:50:00,3,26,1
25,07:00:00,13:15:00,11,1,1
26,07:00:00,14:10:00,7,4,1
27,07:00:00,11:35:00,19,27,1
28,07:50:00,11:55:00,29,19,1
29,08:45:00,10:35:00,27,29,1
30,07:00:00,10:35:00,17,4,1
31,07:00:00,12:20:00,8,19,2
32,13:30:00,15:30:00,15,22,2
33,07:00:00,16:20:00,17,16,1
34,07:00:00,10:55:00,27,23,1
35,09:20:00,13:10:00,6,3,1
36,07:00:00,08:30:00,15,13,1
37,07:00:00,14:35:00,0,8,1
38,07:00:00,11:20:00,0,20,1
39,07:00:00,13:00:00,16,20,1
40,07:00:00,12:15:00,15,8,1
41,07:00:00,08:55:00,13,0,1
42,08:25:00,13:05:00,5,25,2
43,07:00:00,10:25:00,31,19,1
44,07:00:00,09:50:00,26,27,1
45,07:00:00,12:10:00,19,9,1
46,07:00:00,09:30:00,6,14,1
47,07:00:00,09:10:00,17,18,1
48,07:00:00,11:40:00,29,9,1
49,07:00:00,13:20:00,20,28,1
