id, arrivalTime, startTime, pickUp, dropOff, amount
0,12:55:00,16:50:00,8,0,2
1,07:00:00,15:05:00,6,12,1
2,07:00:00,15:50:00,11,5,1
3,07:40:00,10:10:00,6,9,2
4,07:00:00,11:30:00,4,3,1
5,07:00:00,10:40:00,2,13,2
6,07:00:00,09:20:00,1,8,1
7,14:35:00,15:40:00,5,1,1
8,07:00:00,08:20:00,2,1,1
9,07:00:00,13:05:00,3,11,1
10,07:00:00,13:40:00,13,2,2
11,07:00:00,12:40:00,5,10,1
12,07:00:00,15:00:00,13,11,1
13,07:00:00,16:30:00,3,2,1
14,11:10:00,13:05:00,6,8,1
15,07:00:00,10:45:00,0,7,1
16,07:00:00,11:30:00,9,8,1
17,07:00:00,13:20:00,3,12,1
18,07:00:00,12:00:00,1,0,1
19,07:00:00,10:20:00,2,6,2
20,07:00:00,09:10:00,1,11,1
21,09:25:00,10:55:00,2,3,1
22,07:05:00,10:25:00,12,10,1
23,07:00:00,10:10:00,1,6,1
24,11:15:00,15:10:00,11,3,1
25,07:00:00,15:30:00,12,11,1
26,10:25:00,14:15:00,12,5,1
27,07:00:00,13:50:00,2,10,1
28,09:25:00,13:10:00,11,5,1
29,07:00:00,15:15:00,1,7,1
30,07:00:00,13:55:00,9,11,1
31,07:00:00,11:50:00,2,9,1
32,07:00:00,14:55:00,11,12,1
33,11:10:00,15:05:00,7,2,1
34,07:00:00,08:30:00,6,1,1
35,07:00:00,10:35:00,5,1,1
36,08:15:00,12:55:00,5,4,1
37,07:00:00,16:45:00,5,4,1
38,15:40:00,16:45:00,5,0,1
39,07:00:00,09:10:00,9,7,1
40,08:30:00,13:30:00,6,13,1
41,07:00:00,10:30:00,4,9,1
42,07:45:00,16:55:00,11,9,2
43,08:40:00,16:55:00,11,13,1
44,07:45:00,16:40:00,4,12,1
45,07:00:00,08:30:00,2,3,1
46,07:00:00,08:50:00,9,6,2
47,07:00:00,12:55:00,3,7,1
48,13:20:00,16:55:00,10,5,1
49,07:45:00,12:25:00,11,5,1
