id, arrivalTime, startTime, pickUp, dropOff, amount
0,07:00:00,10:50:00,0,10,2
1,07:00:00,08:50:00,13,9,1
2,07:00:00,08:05:00,13,10,2
3,07:00:00,09:25:00,9,8,1
4,09:15:00,10:20:00,11,12,1
5,07:00:00,10:10:00,12,13,1
6,07:00:00,08:35:00,10,8,1
7,07:00:00,08:40:00,5,9,1
8,07:00:00,09:20:00,8,9,1
9,07:00:00,10:10:00,9,8,1
10,07:00:00,09:50:00,13,7,1
11,09:45:00,10:55:00,5,9,1
12,08:30:00,09:35:00,5,4,2
13,07:00:00,10:05:00,5,4,1
14,07:00:00,09:30:00,3,4,1
15,07:00:00,09:40:00,0,1,2
16,07:20:00,09:35:00,9,1,2
17,07:00:00,09:10:00,8,11,1
18,07:00:00,10:30:00,4,13,1
19,07:00:00,10:00:00,13,3,1
