id, arrivalTime, startTime, pickUp, dropOff, amount
0,07:50:00,10:10:00,14,18,1
1,07:20:00,10:10:00,22,4,1
2,07:00:00,11:00:00,11,10,1
3,07:00:00,09:05:00,27,4,1
4,07:00:00,08:25:00,16,25,1
5,09:45:00,10:45:00,23,14,2
6,07:00:00,08:10:00,14,25,1
7,07:15:00,08:40:00,24,1,1
8,08:55:00,10:55:00,9,2,1
9,07:00:00,09:45:00,4,15,2
10,07:00:00,08:00:00,6,19,1
11,07:00:00,09:15:00,10,0,1
12,07:00:00,09:05:00,23,3,1
13,07:00:00,08:45:00,18,0,1
14,07:00:00,08:20:00,24,12,1
15,07:00:00,10:00:00,22,11,1
16,07:00:00,10:25:00,4,9,1
17,07:00:00,10:15:00,19,18,2
18,07:00:00,08:25:00,4,7,1
19,07:00:00,10:55:00,24,27,1
20,07:00:00,09:15:00,9,0,1
21,07:00:00,10:40:00,20,4,1
22,07:00:00,09:15:00,12,20,1
23,07:00:00,11:00:00,10,22,1
24,07:50:00,10:00:00,12,1,1
25,07:00:00,10:40:00,0,11,1
26,07:00:00,10:20:00,19,15,1
27,07:00:00,10:50:00,3,26,1
28,07:00:00,09:00:00,11,4,1
29,07:00:00,08:00:00,15,11,1
