id, arrivalTime, startTime, pickUp, dropOff, amount
0,08:10:00,11:35:00,2,22,1
1,10:45:00,14:35:00,8,14,1
2,07:00:00,16:55:00,14,23,1
3,07:00:00,15:50:00,21,15,1
4,07:00:00,13:55:00,16,4,1
5,07:00:00,08:50:00,1,15,2
6,09:20:00,16:15:00,21,17,1
7,07:00:00,12:25:00,22,14,2
8,07:00:00,10:25:00,21,3,1
9,07:00:00,17:00:00,19,4,1
10,07:00:00,16:40:00,15,4,1
11,09:25:00,10:30:00,10,15,2
12,07:00:00,12:20:00,18,0,1
13,07:00:00,13:35:00,19,13,3
14,07:50:00,11:50:00,2,3,1
15,07:00:00,09:00:00,2,17,2
16,07:00:00,15:30:00,23,21,1
17,07:00:00,09:35:00,3,12,1
18,07:00:00,13:45:00,22,7,1
19,11:25:00,16:50:00,16,0,1
20,07:00:00,13:40:00,11,13,2
21,09:25:00,16:25:00,2,25,1
22,07:00:00,15:05:00,6,9,1
23,07:00:00,09:40:00,13,14,2
24,07:00:00,13:50:00,7,3,1
25,07:00:00,09:40:00,3,21,1
26,07:00:00,08:25:00,21,0,1
27,07:00:00,09:00:00,24,18,1
28,07:00:00,16:40:00,1,4,1
29,07:00:00,10:45:00,8,5,1
