id, arrivalTime, startTime, pickUp, dropOff, amount
0,07:00:00,08:50:00,10,19,1
1,11:10:00,15:40:00,9,12,1
2,09:00:00,15:20:00,1,12,1
3,07:00:00,15:00:00,16,2,1
4,07:00:00,12:15:00,3,14,1
5,07:00:00,10:45:00,0,2,1
6,07:00:00,09:20:00,10,11,1
7,07:00:00,08:05:00,3,0,1
8,07:00:00,16:15:00,9,20,1
9,07:00:00,08:45:00,6,10,1
10,07:00:00,11:25:00,4,20,1
11,07:00:00,16:40:00,11,4,1
12,10:40:00,16:25:00,2,16,1
13,12:10:00,15:30:00,1,13,1
14,07:00:00,08:30:00,19,5,1
15,07:00:00,11:30:00,5,11,1
16,08:05:00,13:00:00,0,6,1
17,07:30:00,12:35:00,10,5,1
18,07:00:00,08:05:00,8,15,1
19,07:00:00,14:25:00,14,15,2
20,07:00:00,15:45:00,1,5,1
21,10:45:00,11:45:00,8,19,1
22,07:00:00,11:30:00,18,17,1
23,09:50:00,16:40:00,14,5,1
24,07:00:00,10:30:00,17,15,2
25,07:00:00,08:30:00,18,20,1
26,07:00:00,08:50:00,12,15,1
27,07:40:00,15:35:00,2,4,1
28,07:00:00,09:05:00,17,13,1
29,07:00:00,12:15:00,12,0,2
