id, arrivalTime, startTime, pickUp, dropOff, amount
0,07:00:00,10:15:00,8,16,1
1,07:00:00,12:55:00,11,6,1
2,08:50:00,10:50:00,15,0,1
3,09:45:00,12:35:00,14,6,2
4,07:00:00,11:20:00,0,16,1
5,07:00:00,11:05:00,20,16,2
6,07:00:00,13:55:00,7,16,1
7,07:00:00,13:20:00,19,18,2
8,07:00:00,08:45:00,14,15,1
9,08:35:00,12:50:00,17,4,1
10,07:00:00,08:05:00,9,8,2
11,07:00:00,10:40:00,10,20,1
12,07:00:00,10:10:00,0,14,2
13,10:50:00,13:30:00,8,0,1
14,07:00:00,09:00:00,10,6,3
15,07:00:00,10:20:00,11,3,1
16,09:00:00,13:55:00,12,3,1
17,07:00:00,13:45:00,19,4,1
18,07:00:00,10:55:00,0,8,1
19,07:00:00,08:20:00,7,12,1
20,07:00:00,13:45:00,2,8,1
21,07:00:00,08:20:00,18,2,1
22,07:00:00,11:45:00,8,17,1
23,07:00:00,13:00:00,16,19,2
24,07:00:00,12:15:00,5,18,1
25,07:00:00,09:10:00,17,14,1
26,12:30:00,14:00:00,20,18,1
27,07:00:00,09:15:00,17,8,1
28,07:55:00,10:55:00,19,13,1
29,07:00:00,08:50:00,4,19,2
30,07:00:00,14:00:00,17,16,1
31,07:00:00,08:15:00,18,2,1
32,07:10:00,11:05:00,2,11,2
33,07:00:00,12:40:00,12,17,1
34,07:00:00,13:50:00,2,6,1
35,07:20:00,08:55:00,6,20,1
36,07:00:00,12:00:00,5,20,1
37,07:00:00,08:20:00,1,17,2
38,08:05:00,10:40:00,16,1,1
39,07:00:00,10:20:00,8,20,1
40,07:00:00,13:35:00,3,1,2
41,07:00:00,08:45:00,7,20,2
42,07:00:00,09:00:00,7,16,2
43,07:00:00,08:30:00,9,18,1
44,07:00:00,08:15:00,14,3,1
45,07:00:00,11:45:00,6,0,1
46,07:00:00,08:45:00,9,16,1
47,07:00:00,13:10:00,9,12,1
48,07:00:00,13:25:00,1,14,1
49,07:00:00,09:20:00,0,13,1
50,07:00:00,10:30:00,14,1,1
51,07:00:00,08:30:00,1,14,1
52,07:00:00,08:40:00,4,5,1
53,07:00:00,08:00:00,10,3,1
54,07:00:00,13:40:00,6,3,1
55,07:00:00,08:55:00,6,4,2
56,07:00:00,09:55:00,16,20,1
57,07:00:00,13:20:00,13,16,2
58,07:00:00,10:20:00,8,0,1
59,07:00:00,13:45:00,9,11,1
60,07:00:00,12:50:00,1,20,1
61,07:00:00,09:00:00,19,11,1
62,07:00:00,09:10:00,12,15,1
63,07:00:00,08:15:00,10,0,2
64,12:15:00,13:55:00,4,6,1
65,11:25:00,13:30:00,18,7,1
66,07:00:00,08:45:00,7,16,2
67,10:20:00,13:10:00,0,12,1
68,09:10:00,11:25:00,11,5,1
69,09:40:00,10:50:00,2,11,1
70,07:00:00,08:30:00,2,5,1
71,07:00:00,09:35:00,16,0,1
72,07:20:00,11:55:00,10,1,2
73,07:00:00,08:45:00,5,12,1
74,07:00:00,08:15:00,17,13,1
75,11:10:00,14:00:00,6,8,1
76,08:20:00,10:35:00,4,16,1
77,11:40:00,12:50:00,8,20,1
78,07:00:00,08:30:00,6,10,1
79,07:00:00,08:50:00,15,20,1
