id, arrivalTime, startTime, pickUp, dropOff, amount
0,07:00:00,10:00:00,14,17,1
1,07:00:00,10:05:00,14,13,1
2,08:05:00,10:45:00,0,14,1
3,07:00:00,11:00:00,14,10,1
4,08:15:00,10:45:00,8,1,1
5,07:00:00,09:50:00,0,20,1
6,07:00:00,09:55:00,19,14,1
7,07:00:00,08:25:00,5,19,1
8,07:00:00,09:35:00,14,9,1
9,07:50:00,10:35:00,17,13,2
10,07:00:00,08:20:00,3,5,2
11,07:00:00,10:55:00,16,11,2
12,07:00:00,08:45:00,11,12,1
13,07:10:00,09:20:00,20,1,1
14,07:00:00,10:40:00,18,5,1
15,07:00:00,10:40:00,8,5,1
16,07:00:00,09:25:00,7,17,1
17,07:00:00,08:45:00,0,7,1
18,07:25:00,08:25:00,2,6,1
19,07:00:00,08:35:00,0,4,1
20,07:05:00,11:00:00,13,7,1
21,07:00:00,09:05:00,19,10,1
22,07:00:00,10:20:00,5,0,1
23,07:00:00,09:10:00,17,18,1
24,07:00:00,09:20:00,6,1,1
25,07:10:00,09:15:00,4,5,1
26,07:00:00,09:45:00,0,4,1
27,07:00:00,09:30:00,1,3,1
28,08:20:00,10:25:00,16,14,1
29,07:00:00,08:20:00,19,3,1
