id, arrivalTime, startTime, pickUp, dropOff, amount
0,07:20:00,13:15:00,7,14,1
1,07:00:00,08:10:00,17,18,1
2,07:00:00,13:40:00,5,0,1
3,07:05:00,09:45:00,28,10,1
4,07:00:00,08:20:00,25,18,2
5,07:00:00,11:15:00,22,6,1
6,07:00:00,10:20:00,10,11,1
7,07:00:00,12:55:00,22,6,2
8,08:00:00,09:35:00,11,15,1
9,07:00:00,12:20:00,21,26,1
10,07:00:00,13:00:00,5,0,1
11,07:00:00,08:50:00,27,21,1
12,07:00:00,12:40:00,15,6,1
13,07:00:00,08:25:00,14,8,1
14,07:00:00,09:30:00,4,19,1
15,09:55:00,11:20:00,8,14,1
16,07:00:00,08:35:00,19,13,1
17,08:25:00,12:00:00,19,8,1
18,07:00:00,12:00:00,19,31,2
19,07:00:00,11:00:00,27,15,1
20,07:00:00,13:35:00,24,15,1
21,07:00:00,08:05:00,13,6,1
22,07:00:00,08:40:00,2,18,3
23,07:00:00,10:40:00,4,13,1
24,07:00:00,12:15:00,6,22,1
25,07:00:00,10:00:00,17,10,1
26,07:00:00,10:20:00,9,5,2
27,07:00:00,11:40:00,12,16,1
28,07:00:00,10:10:00,18,6,1
29,07:00:00,13:45:00,15,10,2
30,07:00:00,08:55:00,19,25,1
31,07:30:00,09:50:00,31,15,1
32,07:00:00,10:30:00,19,15,1
33,07:00:00,09:55:00,3,18,1
34,09:45:00,11:20:00,25,0,1
35,09:35:00,13:55:00,5,10,1
36,07:00:00,09:30:00,12,28,1
37,07:00:00,09:20:00,9,5,2
38,07:00:00,08:55:00,17,28,1
39,07:00:00,11:00:00,27,6,1
40,07:00:00,12:35:00,2,8,1
41,07:00:00,09:25:00,27,13,1
42,07:15:00,12:40:00,30,21,1
43,09:25:00,13:25:00,7,16,2
44,07:00:00,12:50:00,22,28,1
45,07:00:00,08:20:00,11,14,1
46,07:00:00,10:15:00,12,16,1
47,11:50:00,13:00:00,10,21,1
48,07:00:00,12:20:00,4,17,2
49,07:00:00,10:45:00,31,25,1
50,07:00:00,11:25:00,15,27,1
51,07:00:00,10:20:00,5,7,1
52,07:00:00,09:25:00,29,28,1
53,10:40:00,12:55:00,15,8,1
54,07:00:00,09:40:00,29,25,1
55,07:00:00,09:20:00,21,2,2
56,07:00:00,11:10:00,15,31,1
57,07:00:00,12:50:00,4,10,1
58,07:00:00,11:25:00,18,0,1
59,07:00:00,12:55:00,11,9,1
60,07:00:00,08:00:00,14,23,1
61,10:00:00,13:35:00,14,10,1
62,07:00:00,13:00:00,27,26,1
63,07:00:00,11:20:00,22,6,1
64,07:00:00,08:40:00,4,6,1
65,07:00:00,11:40:00,20,6,1
66,07:00:00,08:20:00,4,9,1
67,07:00:00,09:20:00,2,0,1
68,07:00:00,08:25:00,23,4,1
69,07:00:00,08:25:00,1,6,1
70,07:00:00,10:55:00,20,12,1
71,07:00:00,11:05:00,9,8,1
72,07:05:00,13:15:00,17,3,2
73,08:35:00,10:05:00,19,27,1
74,07:00:00,08:15:00,25,19,1
75,07:00:00,10:55:00,26,2,2
76,07:00:00,11:05:00,10,11,1
77,07:00:00,10:45:00,18,12,1
78,10:10:00,13:35:00,24,7,2
79,07:00:00,12:20:00,15,14,1
80,07:00:00,09:30:00,13,23,1
81,07:00:00,13:20:00,21,0,1
82,07:00:00,11:00:00,15,21,1
83,10:40:00,13:45:00,17,16,1
84,07:00:00,10:35:00,13,22,1
85,07:00:00,11:55:00,21,5,1
86,07:00:00,08:20:00,13,15,1
87,07:00:00,11:10:00,26,5,1
88,07:00:00,09:00:00,13,30,2
89,07:00:00,12:50:00,14,1,1
