id, arrivalTime, startTime, pickUp, dropOff, amount
0,07:00:00,10:55:00,14,3,1
1,07:00:00,10:20:00,3,9,1
2,07:15:00,10:25:00,19,24,1
3,07:00:00,10:30:00,21,16,1
4,07:00:00,10:25:00,23,17,1
5,07:00:00,10:30:00,13,25,1
6,07:00:00,09:45:00,6,19,1
7,07:25:00,09:20:00,9,19,1
8,07:00:00,08:40:00,1,17,1
9,07:00:00,10:55:00,24,9,1
10,07:00:00,10:30:00,26,8,1
11,07:00:00,09:50:00,5,8,1
12,07:00:00,09:05:00,12,1,1
13,07:00:00,08:35:00,0,23,1
14,07:00:00,09:10:00,10,28,1
15,07:00:00,10:20:00,1,3,1
16,07:00:00,10:50:00,7,15,1
17,07:00:00,09:50:00,25,8,1
18,07:00:00,08:45:00,13,7,1
19,07:00:00,10:30:00,20,19,1
20,07:00:00,09:50:00,12,11,1
21,07:00:00,10:15:00,28,15,1
22,07:00:00,09:00:00,29,26,1
23,07:15:00,09:05:00,26,15,1
24,07:00:00,09:30:00,15,3,1
25,07:00:00,10:05:00,13,21,1
26,07:00:00,09:10:00,21,16,2
27,07:00:00,08:50:00,26,30,1
28,07:00:00,09:00:00,20,13,1
29,07:00:00,09:20:00,17,3,1
30,07:00:00,09:10:00,10,30,1
31,07:00:00,09:00:00,15,13,1
32,07:00:00,10:45:00,1,9,1
33,07:00:00,08:50:00,26,8,1
34,07:00:00,09:55:00,28,23,1
35,07:00:00,10:45:00,13,12,2
36,07:00:00,09:35:00,2,12,1
37,07:00:00,09:50:00,15,16,1
38,07:20:00,08:40:00,4,18,2
39,07:00:00,10:15:00,14,0,1
40,07:00:00,08:20:00,8,13,1
41,07:00:00,10:25:00,12,11,1
42,07:00:00,09:50:00,9,2,1
43,07:00:00,08:15:00,11,14,1
44,07:00:00,08:55:00,18,12,1
45,07:00:00,10:35:00,16,12,1
46,07:00:00,09:25:00,10,29,1
47,07:00:00,09:55:00,22,31,1
48,07:00:00,09:50:00,6,11,1
49,08:35:00,10:45:00,15,12,1
