id, arrivalTime, startTime, pickUp, dropOff, amount
0,07:05:00,09:50:00,11,13,1
1,07:00:00,08:30:00,8,10,1
2,07:00:00,08:30:00,13,12,1
3,07:00:00,08:20:00,2,5,1
4,07:00:00,08:20:00,7,0,1
5,07:00:00,08:55:00,5,6,1
6,07:00:00,08:05:00,13,1,1
7,07:00:00,08:00:00,2,3,1
8,07:00:00,08:30:00,4,7,1
9,07:00:00,09:35:00,6,11,1
10,07:00:00,09:25:00,13,10,1
11,07:00:00,08:50:00,0,4,1
12,07:00:00,09:50:00,12,1,1
13,07:00:00,08:35:00,1,12,1
14,07:00:00,09:25:00,1,10,1
15,07:40:00,09:00:00,13,5,1
16,07:00:00,08:40:00,13,2,1
17,07:00:00,10:40:00,0,7,2
18,07:00:00,10:30:00,7,13,2
19,07:00:00,09:40:00,1,3,1
20,07:00:00,08:20:00,7,5,2
21,07:00:00,08:45:00,2,9,1
22,07:00:00,10:20:00,9,0,3
23,07:00:00,08:10:00,6,1,2
24,07:00:00,10:25:00,6,7,1
25,07:00:00,08:55:00,3,13,1
26,07:00:00,08:10:00,8,7,1
27,07:00:00,10:50:00,0,2,1
28,07:00:00,08:45:00,10,9,1
29,07:00:00,09:50:00,8,0,2
