id, arrivalTime, startTime, pickUp, dropOff, amount
0,07:00:00,13:30:00,3,19,2
1,07:00:00,14:00:00,18,12,1
2,07:00:00,09:10:00,18,8,1
3,07:00:00,08:00:00,27,8,2
4,07:00:00,09:35:00,19,8,2
5,07:00:00,08:25:00,18,2,1
6,11:55:00,13:00:00,5,10,2
7,07:00:00,12:30:00,27,25,1
8,07:00:00,08:20:00,14,10,1
9,07:00:00,11:30:00,11,24,1
10,07:00:00,09:25:00,22,4,2
11,07:00:00,11:50:00,15,0,2
12,07:00:00,10:25:00,10,8,1
13,07:45:00,09:10:00,25,1,2
14,07:00:00,09:55:00,21,7,2
15,07:00:00,09:15:00,9,22,1
16,07:00:00,10:05:00,24,1,1
17,07:00:00,12:20:00,19,15,2
18,09:15:00,10:55:00,14,22,1
19,12:00:00,13:25:00,21,14,1
20,07:05:00,12:20:00,24,12,2
21,07:00:00,09:20:00,19,3,1
22,10:35:00,12:55:00,5,22,1
23,07:00:00,10:15:00,7,16,1
24,07:00:00,08:25:00,16,0,2
25,07:00:00,13:55:00,9,19,1
26,07:00:00,08:20:00,10,26,1
27,07:00:00,08:40:00,6,17,1
28,09:30:00,12:50:00,26,22,1
29,07:00:00,12:20:00,2,4,1
30,07:00:00,09:45:00,25,9,1
31,07:00:00,08:35:00,24,25,1
32,07:00:00,11:45:00,13,11,1
33,07:00:00,10:10:00,5,19,1
34,07:00:00,12:40:00,14,4,1
35,07:00:00,10:20:00,4,1,2
36,07:00:00,10:45:00,10,23,1
37,07:00:00,09:45:00,12,8,2
38,07:00:00,09:15:00,16,21,1
39,07:00:00,11:00:00,6,5,1
40,07:00:00,11:10:00,13,14,1
41,07:00:00,12:10:00,0,13,1
42,07:00:00,11:50:00,22,4,2
43,11:30:00,14:00:00,27,9,1
44,07:00:00,09:45:00,22,18,1
45,07:00:00,10:45:00,22,24,1
46,07:00:00,11:25:00,20,24,1
47,07:00:00,12:35:00,8,20,1
48,07:00:00,12:40:00,1,7,1
49,12:20:00,14:00:00,17,2,1
50,07:00:00,11:40:00,1,18,1
51,07:00:00,09:40:00,27,16,1
52,07:00:00,09:50:00,16,5,3
53,10:45:00,12:15:00,8,6,1
54,07:30:00,08:50:00,10,8,1
55,07:00:00,09:30:00,1,6,1
56,08:55:00,11:25:00,9,15,1
57,07:00:00,13:40:00,21,15,2
58,07:00:00,08:05:00,9,18,1
59,07:00:00,11:20:00,6,12,1
60,07:00:00,09:30:00,20,24,1
61,07:00:00,10:20:00,11,25,1
62,08:00:00,14:00:00,1,5,1
63,07:15:00,09:50:00,25,6,1
64,07:00:00,09:00:00,5,22,1
65,07:00:00,12:15:00,19,26,1
66,10:50:00,12:35:00,9,25,2
67,07:00:00,10:50:00,8,17,1
68,07:00:00,09:50:00,1,27,1
69,07:00:00,09:40:00,5,2,1
70,07:00:00,13:20:00,14,3,2
71,10:20:00,11:45:00,10,3,1
72,09:50:00,11:00:00,11,9,1
73,07:20:00,10:45:00,20,18,1
74,07:00:00,10:30:00,10,20,1
75,07:00:00,13:35:00,27,14,1
76,07:00:00,08:50:00,20,16,2
77,07:00:00,08:15:00,3,9,1
78,08:10:00,13:30:00,1,17,1
79,07:00:00,08:45:00,23,13,1
80,07:00:00,13:10:00,15,11,1
81,07:00:00,14:00:00,11,15,2
82,09:00:00,13:00:00,20,25,1
83,07:00:00,10:15:00,5,3,1
84,07:00:00,08:40:00,4,15,1
85,07:00:00,09:20:00,20,23,1
86,07:00:00,13:10:00,5,19,2
87,07:00:00,12:35:00,15,7,1
88,07:00:00,10:30:00,0,13,3
89,07:00:00,13:45:00,25,17,1
