number,stop ID,arrival time,departure time,pick up users,drop of users
1,21,07:00:00,08:46:59,[],[]
2,13,09:00:42,09:07:05,['36'],[]
3,22,09:17:24,09:21:29,[],['36']
4,25,09:30:00,09:32:00,['24'],[]
5,13,09:34:55,09:36:55,[],['24']
6,25,09:39:50,10:47:57,['66'],[]
7,13,10:50:52,10:52:52,[],['66']
8,24,10:59:54,11:22:00,['29'],[]
9,23,11:25:55,11:27:55,[],['29']
10,24,11:31:50,14:04:24,['38'],[]
11,13,14:11:26,14:32:56,['57'],['38']
12,25,14:35:51,14:53:25,['33'],['57']
13,21,15:06:14,16:25:36,['43'],['33']
14,13,16:39:19,16:41:31,[],['43']
15,23,16:48:10,16:50:10,['34'],[]
16,24,16:54:05,16:56:05,[],['34']
17,23,17:00:00,17:02:00,['56'],[]
18,13,17:08:39,17:23:54,[],['56']
19,21,17:37:37,19:00:00,[],[]
