number,stop ID,arrival time,departure time,pick up users,drop of users
1,21,07:00:00,08:07:14,[],[]
2,22,08:12:46,08:14:46,['85'],[]
3,13,08:25:05,08:27:05,['10'],['85']
4,25,08:30:00,08:32:00,['35'],[]
5,21,08:44:49,08:46:49,[],"['35', '10']"
6,13,09:00:32,09:32:00,['75'],[]
7,25,09:34:55,10:07:00,['12'],['75']
8,13,10:09:55,10:15:43,['32'],['12']
9,25,10:18:38,10:22:02,[],['32']
10,24,10:27:34,10:29:34,['16'],[]
11,25,10:35:06,10:37:06,['13'],[]
12,13,10:40:01,10:42:01,['47'],"['16', '13']"
13,23,10:48:40,10:51:30,['78'],['47']
14,13,10:58:09,11:27:00,['1'],['78']
15,22,11:37:19,11:39:19,[],['1']
16,21,11:44:51,11:46:51,['6'],[]
17,22,11:52:23,11:54:23,[],['6']
18,13,12:04:42,12:25:25,['28'],[]
19,25,12:28:20,12:30:20,[],['28']
20,23,12:34:15,12:37:00,['39'],[]
21,13,12:43:39,13:07:24,['66'],['39']
22,24,13:14:26,13:32:00,['76'],['66']
23,25,13:37:32,13:42:00,['21'],['76']
24,13,13:44:55,14:13:19,['14'],['21']
25,21,14:27:02,19:00:00,[],['14']
