number,stop ID,arrival time,departure time,pick up users,drop of users
1,8,07:00:00,08:02:34,[],[]
2,5,08:11:48,08:13:48,['24'],[]
3,8,08:23:02,08:32:57,['89'],['24']
4,4,08:45:52,08:51:14,['10'],['89']
5,6,08:59:56,09:01:56,[],['10']
6,7,09:04:42,09:06:42,['8'],[]
7,8,09:12:05,09:25:45,['57'],['8']
8,4,09:38:40,09:40:40,['23'],['57']
9,5,09:44:22,10:02:04,[],['23']
10,7,10:10:00,10:12:00,['63'],[]
11,6,10:14:46,10:37:00,['18'],['63']
12,4,10:45:42,11:43:12,"['75', '46']",['18']
13,6,11:51:54,12:04:00,['58'],"['46', '75']"
14,7,12:06:46,12:12:00,['19'],[]
15,8,12:17:23,12:22:00,"['55', '74']","['58', '19']"
16,7,12:27:23,12:32:00,['69'],"['55', '74']"
17,8,12:37:23,12:53:46,['68'],['69']
18,6,13:00:59,13:02:59,['85'],[]
19,5,13:08:54,13:10:54,[],['68']
20,4,13:14:36,13:17:13,"['38', '76']",['85']
21,5,13:20:55,13:22:55,['50'],[]
22,8,13:32:09,13:42:05,['16'],"['50', '76', '38']"
23,4,13:55:00,13:57:00,['35'],['16']
24,8,14:09:55,19:00:00,[],['35']
