number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,07:55:22,[],[]
2,1,08:00:00,08:02:00,['65'],[]
3,0,08:06:38,08:08:38,[],['65']
4,19,08:28:16,08:42:00,['32'],[]
5,18,08:43:49,08:52:00,"['37', '46']",[]
6,6,08:54:52,08:56:52,"['42', '68', '30']","['37', '32']"
7,4,09:00:43,09:02:43,[],"['68', '46']"
8,3,09:06:34,09:08:34,[],['30']
9,1,09:15:00,09:27:32,['38'],['42']
10,5,09:38:31,09:46:03,['49'],[]
11,6,09:48:37,09:50:37,['8'],"['38', '49']"
12,18,09:53:29,09:55:29,"['6', '40']",['8']
13,6,09:58:21,10:00:21,[],['40']
14,2,10:12:33,10:14:33,[],['6']
15,0,10:20:00,10:22:00,['43'],[]
16,2,10:27:27,10:37:00,['12'],[]
17,5,10:46:48,10:48:48,[],['12']
18,6,10:51:22,10:53:22,['44'],[]
19,19,10:56:14,10:58:14,[],['43']
20,20,11:01:06,11:05:20,['61'],['44']
21,6,11:11:05,11:13:05,[],['61']
22,19,11:15:57,11:17:57,['21'],[]
23,3,11:27:19,11:29:19,['89'],['21']
24,6,11:37:02,11:40:16,['82'],['89']
25,1,11:53:41,11:55:41,['75'],['82']
26,2,11:56:58,11:58:58,['7'],[]
27,4,12:07:35,12:10:44,[],['75']
28,6,12:14:35,12:16:35,[],['7']
29,1,12:30:00,12:32:00,['4'],[]
30,2,12:33:17,12:44:33,['84'],[]
31,3,12:50:00,12:52:00,['18'],[]
32,5,12:57:09,12:59:09,[],['18']
33,6,13:01:43,13:08:22,['56'],['4']
34,20,13:14:07,13:18:39,[],"['84', '56']"
35,6,13:24:24,13:26:24,['64'],[]
36,3,13:34:07,13:36:07,['14'],[]
37,2,13:41:34,13:58:38,['16'],['64']
38,0,14:04:05,19:00:00,[],"['16', '14']"
