number,stop ID,arrival time,departure time,pick up users,drop of users
1,6,07:00:00,08:29:38,[],[]
2,12,08:40:00,08:42:00,['23'],[]
3,10,08:47:27,08:49:27,[],['23']
4,12,08:54:54,08:56:54,['39'],[]
5,14,09:00:32,09:02:32,[],['39']
6,6,09:09:27,09:34:38,['18'],[]
7,14,09:41:33,09:43:33,[],['18']
8,13,09:46:07,10:57:00,['19'],[]
9,6,11:06:22,11:18:43,"['0', '31']",['19']
10,7,11:30:22,11:35:31,[],['31']
11,0,11:45:19,11:47:19,['11'],['0']
12,7,11:57:07,11:59:07,[],['11']
13,0,12:08:55,13:31:30,"['32', '20']",[]
14,9,13:45:21,13:47:21,[],['20']
15,10,13:48:38,13:52:49,[],['32']
16,6,14:03:11,14:05:11,['38'],[]
17,13,14:14:33,14:19:53,[],['38']
18,6,14:29:15,19:00:00,[],[]
