number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,08:12:00,[],[]
2,21,08:16:38,08:18:38,['29'],[]
3,28,08:34:16,08:56:38,"['4', '31', '13']",['29']
4,25,09:03:33,09:05:33,[],['31']
5,23,09:10:42,09:32:00,['34'],"['4', '13']"
6,0,09:39:30,09:41:30,"['12', '39']",['34']
7,22,09:47:56,09:49:56,[],"['39', '12']"
8,23,09:51:13,09:53:13,['16'],[]
9,0,10:00:43,10:02:43,[],['16']
10,22,10:09:09,10:22:00,['3'],[]
11,0,10:28:26,10:44:54,"['20', '0']",['3']
12,26,10:59:34,11:02:28,[],['0']
13,27,11:03:45,11:13:19,[],['20']
14,0,11:29:13,19:00:00,[],[]
