number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,08:16:30,[],[]
2,10,08:33:22,08:35:22,['16'],[]
3,3,08:45:09,08:48:47,[],['16']
4,8,08:52:56,09:47:00,['37'],[]
5,3,09:51:09,10:06:51,"['17', '33']",['37']
6,8,10:11:00,10:13:00,[],"['17', '33']"
7,11,10:19:55,10:21:55,['24'],[]
8,9,10:25:23,10:27:23,['27'],[]
9,3,10:35:00,10:37:00,[],['24']
10,7,10:44:08,11:02:00,['31'],['27']
11,3,11:09:08,11:16:28,['8'],[]
12,10,11:26:15,11:39:03,[],"['8', '31']"
13,0,11:55:55,19:00:00,[],[]
