number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,07:48:38,[],[]
2,10,08:05:30,08:07:30,['63'],[]
3,9,08:10:00,08:12:00,['58'],[]
4,3,08:19:37,08:21:37,[],"['63', '58']"
5,8,08:25:46,08:27:46,['11'],[]
6,13,08:40:18,08:42:18,['60'],['11']
7,3,08:58:58,09:07:26,['46'],['60']
8,11,09:18:31,09:32:00,['21'],[]
9,13,09:37:43,09:43:51,['9'],"['46', '21']"
10,7,10:07:12,10:09:12,[],['9']
11,0,10:12:40,10:14:40,['40'],[]
12,3,10:23:59,10:25:59,['12'],[]
13,11,10:37:04,10:43:27,[],['40']
14,13,10:49:10,11:01:43,"['53', '35']",['12']
15,3,11:18:23,11:20:23,['27'],"['53', '35']"
16,8,11:24:32,11:26:32,['18'],['27']
17,9,11:30:00,11:32:00,['36'],[]
18,13,11:41:06,12:02:04,[],"['36', '18']"
19,11,12:07:47,14:32:00,['34'],[]
20,3,14:43:05,16:29:05,['5'],['34']
21,10,16:38:52,16:47:25,[],['5']
22,9,16:49:55,16:51:55,['4'],[]
23,3,16:59:32,17:19:32,"['31', '49']",['4']
24,9,17:27:09,17:36:16,[],"['31', '49']"
25,0,17:51:45,19:00:00,[],[]
