number,stop ID,arrival time,departure time,pick up users,drop of users
1,8,07:00:00,08:22:00,['43'],[]
2,10,08:32:19,08:37:00,['1'],[]
3,13,08:54:01,08:56:01,[],"['43', '1']"
4,14,08:59:43,09:01:43,['21'],[]
5,0,09:09:39,09:35:15,"['11', '28', '40']",['21']
6,12,09:49:06,09:51:06,[],['40']
7,11,09:56:04,09:58:04,[],['11']
8,8,10:11:47,10:18:53,['15'],['28']
9,10,10:29:12,10:31:12,['14'],[]
10,13,10:48:13,10:50:13,[],"['15', '14']"
11,14,10:53:55,10:55:55,['36'],[]
12,13,10:59:37,11:10:17,"['19', '35']",['36']
13,12,11:17:00,11:19:00,[],['19']
14,8,11:35:31,19:00:00,[],['35']
