user ID,used buses,used transfer points,waiting time,ride time,shortest time possible,number of transfers(for shortest)
0,"[0, 16]","[18, 6, 8]",18.8,20.73,19.53,2
1,[0],"[4, 17]",2.0,6.55,8.55,1
2,[16],"[14, 6]",4.0,7.12,8.92,1
3,[0],"[17, 2]",2.0,14.37,16.37,1
4,"[16, 0]","[15, 0, 2]",6.0,24.6,20.83,2
5,"[16, 0]","[16, 6, 5]",18.0,4.38,8.38,2
6,[10],"[3, 18]",4.0,10.58,12.37,1
7,[10],"[19, 1]",2.0,15.53,17.53,1
8,"[10, 6]","[19, 6, 9]",9.9,14.37,18.37,2
9,[10],"[19, 18]",2.0,1.82,3.82,1
10,[6],"[12, 9]",2.0,6.43,8.43,1
11,"[0, 16]","[18, 6, 12]",9.3,13.23,17.23,2
12,"[0, 6]","[5, 6, 8]",4.0,15.23,19.23,2
13,[10],"[2, 20]",2.0,16.77,18.77,1
14,"[10, 16]","[20, 6, 7]",21.6,19.75,21.4,2
15,[10],"[19, 1]",2.0,15.53,17.53,1
16,"[16, 10]","[16, 6, 19]",6.9,6.52,8.68,2
17,[6],"[9, 0]",2.0,13.85,15.85,1
18,"[6, 10]","[12, 6, 2]",4.0,22.57,26.57,2
19,[0],"[17, 4]",2.0,6.55,8.55,1
