number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,08:40:33,[],[]
2,2,08:47:41,08:49:41,['15'],[]
3,3,08:53:09,08:55:09,['1'],['15']
4,1,09:02:04,09:04:04,[],['1']
5,2,09:07:32,10:42:00,['7'],[]
6,6,10:49:22,10:51:22,[],['7']
7,5,10:52:04,11:47:00,['20'],[]
8,4,11:52:43,11:57:00,['26'],[]
9,3,12:00:28,12:15:21,"['33', '22']","['26', '20']"
10,2,12:18:49,12:20:49,[],['22']
11,1,12:24:17,12:34:55,[],['33']
12,0,12:41:09,13:27:00,['14'],[]
13,3,13:36:19,13:40:40,['16'],[]
14,4,13:44:08,13:46:08,[],['14']
15,6,13:52:03,13:54:03,[],['16']
16,3,13:59:46,14:01:46,['19'],[]
17,1,14:08:41,14:11:35,[],['19']
18,0,14:17:49,19:00:00,[],[]
