number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,08:21:23,[],[]
2,1,08:27:37,08:29:37,['23'],[]
3,4,08:40:00,08:42:00,['24'],['23']
4,3,08:45:28,09:02:00,['21'],['24']
5,0,09:11:19,09:20:40,[],['21']
6,1,09:26:54,09:52:48,['5'],[]
7,3,09:59:43,10:03:05,[],['5']
8,1,10:10:00,10:12:00,['33'],[]
9,0,10:18:14,10:20:14,[],['33']
10,1,10:26:28,10:52:00,['19'],[]
11,3,10:58:55,11:17:16,['66'],['19']
12,4,11:20:44,11:27:42,['25'],['66']
13,3,11:31:10,11:57:00,['57'],['25']
14,0,12:06:19,13:54:42,"['22', '51', '49']",['57']
15,4,14:06:49,14:10:52,['50'],"['22', '51', '49']"
16,3,14:14:20,14:50:15,['55'],['50']
17,4,14:53:43,14:55:43,[],['55']
18,0,15:07:50,19:00:00,[],[]
