user ID,used buses,used transfer points,waiting time,ride time,shortest time possible,number of transfers(for shortest)
0,"[30, 21]","[19, 0, 3]",25.2,31.6,34.92,2
1,[114],"[13, 22]",2.0,10.32,12.32,1
2,[120],"[0, 9]",6.0,26.63,21.47,1
3,"[10, 20, 14, 130]","[6, 4, 13, 21, 19]",29.4,51.38,54.77,3
4,"[10, 20, 30]","[7, 8, 0, 19]",20.6,49.68,55.5,4
5,[130],"[20, 16]",2.0,10.77,12.77,1
6,[114],"[21, 22]",2.0,5.53,7.53,1
7,"[110, 20]","[8, 4, 12]",8.8,28.7,18.52,1
8,[120],"[11, 12]",2.0,4.97,6.97,1
9,"[130, 14]","[15, 21, 22]",5.7,23.05,27.05,2
10,[114],"[13, 21]",2.0,13.72,15.72,1
11,[120],"[8, 13]",2.0,21.93,23.93,1
12,"[114, 120, 30]","[25, 13, 0, 18]",21.4,25.63,26.05,2
13,"[114, 120, 130]","[25, 13, 0, 16]",28.0,20.53,26.53,3
14,"[110, 121, 130]","[5, 4, 0, 21]",20.6,50.35,45.9,3
15,[30],"[17, 15]",2.0,6.65,8.65,1
16,"[114, 120]","[24, 13, 0]",11.9,19.62,22.18,2
17,[14],"[24, 22]",2.0,12.82,14.82,1
18,"[120, 14]","[11, 13, 21]",8.0,37.07,29.4,2
19,[20],"[11, 14]",4.0,15.37,13.08,1
20,[10],"[4, 5]",2.0,3.7,5.7,1
21,"[114, 30, 121]","[25, 21, 0, 3]",8.5,49.93,36.92,3
22,[121],"[2, 1]",2.0,5.53,7.53,1
23,"[120, 110, 121]","[9, 8, 4, 3]",13.1,32.92,25.05,2
24,[130],"[19, 0]",4.0,14.33,16.07,1
25,"[110, 20]","[7, 4, 11]",4.0,21.95,23.1,2
26,-,-,-,-,24.48,1
27,[130],"[18, 20]",2.0,5.53,7.53,1
28,-,-,-,-,29.4,2
29,"[30, 114]","[16, 21, 23]",19.5,32.78,30.27,3
30,"[21, 30]","[1, 0, 21]",20.0,31.12,30.37,2
31,"[130, 20, 14]","[17, 0, 13, 24]",27.3,26.7,32.7,3
32,"[120, 114]","[12, 13, 25]",10.1,9.63,13.63,2
33,"[21, 130]","[4, 0, 20]",10.2,42.82,45.9,3
