number,stop ID,arrival time,departure time,pick up users,drop of users
1,8,07:00:00,08:00:00,[],[]
2,4,08:12:55,08:31:47,['6'],[]
3,5,08:35:29,08:52:00,['28'],[]
4,7,08:59:56,09:17:00,['4'],"['6', '28']"
5,6,09:19:46,09:21:46,"['18', '23']",[]
6,4,09:30:28,09:43:17,"['47', '17', '32']","['4', '18', '23']"
7,6,09:51:59,09:53:59,[],['32']
8,7,09:56:45,09:58:45,[],"['47', '17']"
9,8,10:04:08,10:42:00,['0'],[]
10,4,10:54:55,10:56:55,[],['0']
11,8,11:09:50,11:40:46,"['7', '36']",[]
12,7,11:46:09,11:52:38,[],"['7', '36']"
13,8,11:58:01,19:00:00,[],[]
