number,stop ID,arrival time,departure time,pick up users,drop of users
1,6,07:00:00,08:05:27,[],[]
2,13,08:14:49,08:16:49,['4'],[]
3,16,08:24:38,08:32:00,['17'],[]
4,6,08:33:49,09:16:52,['63'],"['17', '4']"
5,0,09:34:07,09:47:05,"['57', '8']",['63']
6,10,10:01:27,10:03:27,[],['8']
7,15,10:10:00,10:12:00,['21'],[]
8,6,10:16:38,11:18:03,"['56', '43']","['57', '21']"
9,14,11:24:58,11:26:58,[],['56']
10,12,11:30:36,11:40:33,[],['43']
11,11,11:44:24,11:46:24,['28'],[]
12,0,12:04:18,12:06:18,['39'],['28']
13,7,12:16:06,12:22:00,"['46', '54']",[]
14,14,12:32:22,12:34:22,[],['39']
15,6,12:41:17,13:07:24,"['31', '10']","['46', '54']"
16,15,13:12:02,13:14:02,[],['10']
17,12,13:19:47,13:21:47,[],['31']
18,6,13:32:09,14:04:58,['47'],[]
19,16,14:06:47,15:27:00,['19'],['47']
20,6,15:28:49,16:00:25,['5'],['19']
21,14,16:07:20,16:09:20,[],['5']
22,9,16:17:09,16:19:09,['42'],[]
23,0,16:33:00,16:35:00,[],['42']
24,15,16:52:18,17:02:00,['50'],[]
25,6,17:06:38,17:08:38,[],['50']
26,15,17:13:16,17:17:00,['18'],[]
27,12,17:22:45,17:24:45,[],['18']
28,6,17:35:07,19:00:00,[],[]
