user ID,used buses,used transfer points,waiting time,ride time,shortest time possible,number of transfers(for shortest)
0,[18],"[29, 17]",2.0,3.85,5.85,1
1,"[6, 0]","[9, 6, 18]",6.0,15.33,18.37,2
2,"[7, 18]","[22, 28, 30]",20.0,20.18,23.67,2
3,"[7, 18, 6]","[26, 28, 6, 16]",22.6,20.83,26.82,3
4,"[0, 17]","[4, 0, 23]",8.7,21.4,25.4,2
5,"[6, 8, 17]","[12, 6, 28, 26]",27.3,31.08,35.37,3
6,"[0, 16, 8]","[2, 0, 6, 30]",12.9,32.13,24.02,2
7,"[6, 0]","[16, 6, 18]",9.7,4.7,8.68,2
8,"[16, 10]","[9, 0, 1]",8.2,18.48,22.48,2
9,"[7, 10]","[26, 0, 2]",4.7,20.12,24.12,2
10,"[17, 0]","[26, 0, 18]",10.4,36.65,26.05,3
11,[6],"[13, 14]",2.0,2.57,4.57,1
12,[10],"[2, 5]",2.0,9.8,11.8,1
13,"[16, 17]","[16, 0, 21]",18.1,28.27,25.4,2
14,"[10, 17]","[2, 0, 22]",16.0,12.67,15.88,2
15,[10],"[0, 3]",4.0,11.07,12.92,1
16,[17],"[0, 21]",2.0,4.63,6.63,1
17,"[6, 8]","[12, 6, 28]",8.0,26.43,28.73,2
18,[16],"[12, 16]",2.0,8.62,10.62,1
19,[16],"[8, 0]",2.0,13.42,15.42,1
20,[17],"[23, 24]",2.0,2.57,4.57,1
21,"[7, 18, 6]","[25, 28, 6, 14]",26.6,28.7,34.2,3
22,"[17, 6]","[23, 0, 9]",11.7,22.43,25.35,2
23,"[10, 17]","[18, 0, 21]",16.0,25.13,28.75,2
24,"[10, 16]","[19, 6, 8]",13.3,26.22,19.53,2
25,[10],"[0, 4]",4.0,14.08,15.9,1
26,[6],"[7, 8]",2.0,3.85,5.85,1
27,"[6, 0]","[10, 6, 19]",13.7,15.13,17.23,2
28,[0],"[5, 6]",2.0,2.57,4.57,1
29,"[16, 7]","[9, 0, 22]",25.0,20.28,24.28,2
30,"[0, 6]","[0, 6, 11]",8.9,31.02,19.9,1
31,[7],"[26, 23]",2.0,7.72,9.72,1
32,[6],"[11, 16]",2.0,10.92,12.92,1
33,[6],"[6, 8]",19.6,13.02,14.67,1
34,"[17, 10]","[26, 0, 3]",24.9,25.83,29.58,2
35,"[0, 18]","[1, 6, 31]",13.2,26.92,29.27,2
36,[6],"[8, 10]",2.0,2.57,4.57,1
37,"[8, 0]","[28, 6, 20]",24.1,20.13,23.28,2
38,"[6, 10]","[8, 6, 5]",6.7,15.52,19.23,2
39,"[18, 6]","[31, 6, 14]",5.6,18.78,22.77,2
40,-,-,-,-,16.93,2
41,"[18, 0]","[28, 6, 3]",13.3,22.08,26.08,2
42,[18],"[17, 30]",2.0,6.55,8.55,1
43,[10],"[19, 18]",2.0,1.82,3.82,1
44,[6],"[12, 6]",2.0,10.37,12.37,1
45,"[16, 17]","[9, 0, 27]",22.1,31.33,33.75,2
46,"[10, 8]","[18, 17, 30]",4.0,9.13,13.12,2
47,"[6, 0]","[15, 6, 4]",13.7,8.5,12.48,2
48,"[6, 10]","[7, 6, 19]",17.9,19.67,18.52,2
49,"[0, 16]","[5, 6, 14]",14.2,9.5,13.48,2
50,"[6, 0]","[7, 6, 18]",14.3,19.52,18.52,2
51,"[18, 17]","[31, 28, 25]",6.0,9.78,13.48,2
52,[7],"[28, 0]",2.0,19.12,21.12,1
53,[16],"[0, 10]",2.0,14.37,16.37,1
54,-,-,-,-,13.78,2
55,[0],"[1, 4]",2.0,9.8,11.8,1
56,"[17, 18, 6]","[26, 28, 6, 11]",12.1,32.92,36.57,2
57,"[17, 0]","[21, 0, 6]",6.4,22.2,25.88,2
58,"[18, 10, 16]","[29, 17, 6, 13]",22.0,16.1,19.12,2
59,[7],"[26, 23]",2.0,7.72,9.72,1
60,[18],"[6, 28]",10.6,15.73,16.37,1
61,[18],"[17, 31]",6.6,10.28,12.28,1
62,"[10, 18]","[2, 6, 17]",19.0,15.35,16.37,1
63,[10],"[3, 2]",2.0,5.45,7.45,1
64,"[6, 7]","[8, 0, 24]",22.3,23.22,27.22,2
65,"[8, 16]","[30, 6, 13]",19.5,17.32,21.18,2
66,[7],"[24, 25]",2.0,2.57,4.57,1
67,"[7, 0]","[26, 0, 1]",25.0,19.3,23.3,2
68,"[10, 6]","[5, 6, 12]",7.1,12.93,16.93,2
69,"[7, 16]","[27, 0, 12]",7.3,35.57,34.37,3
70,"[18, 7]","[29, 28, 25]",20.1,15.92,19.92,2
71,"[0, 16]","[2, 0, 13]",6.0,27.65,25.57,2
72,[6],"[7, 15]",4.0,11.88,11.37,1
73,"[8, 10]","[29, 6, 19]",4.0,8.62,11.92,2
74,-,-,-,-,23.32,2
75,[6],"[16, 10]",2.0,8.62,10.62,1
76,"[18, 10, 16]","[29, 17, 6, 9]",12.3,24.72,21.25,2
77,-,-,-,-,28.27,2
78,"[0, 18]","[2, 6, 29]",18.3,19.1,21.95,2
79,[10],"[0, 20]",2.0,22.12,24.12,1
