user ID,used buses,used transfer points,waiting time,ride time,shortest time possible,number of transfers(for shortest)
0,"[19, 18]","[12, 3, 0]",20.5,25.98,25.5,1
1,"[18, 19]","[2, 0, 12]",14.5,30.63,24.13,2
2,"[28, 19]","[2, 3, 11]",4.0,14.53,18.55,2
3,[19],"[13, 7]",4.0,23.48,25.35,1
4,[28],"[1, 3]",2.0,6.92,8.92,1
5,[29],"[10, 11]",2.0,1.95,3.95,1
6,[18],"[0, 5]",9.4,15.23,16.82,1
7,"[28, 29]","[2, 3, 13]",24.9,20.25,24.13,2
8,"[28, 19]","[6, 3, 8]",6.0,10.77,13.87,2
9,"[18, 19]","[4, 3, 11]",23.0,14.53,18.55,2
10,"[18, 29]","[4, 3, 11]",21.6,14.53,18.55,2
11,[29],"[11, 9]",2.0,3.47,5.47,1
12,"[29, 28]","[11, 3, 2]",9.4,14.53,18.55,2
13,[29],"[9, 10]",2.0,2.5,4.5,1
14,"[29, 28]","[12, 3, 5]",4.0,22.58,26.58,2
15,[18],"[6, 4]",2.0,5.92,7.92,1
16,[29],"[3, 8]",2.0,4.15,6.15,1
17,[19],"[7, 0]",2.0,3.47,5.47,1
18,[18],"[6, 5]",2.0,0.7,2.7,1
19,[29],"[13, 12]",2.0,2.77,4.77,1
20,"[19, 18]","[13, 3, 4]",4.0,20.13,24.13,2
21,"[28, 19]","[0, 3, 12]",12.8,29.88,25.5,1
22,"[19, 18]","[11, 3, 6]",22.6,16.78,20.8,2
23,[19],"[13, 3]",12.8,17.25,18.67,1
24,[28],"[2, 4]",2.0,6.92,8.92,1
25,[28],"[3, 2]",2.0,3.47,5.47,1
26,[29],"[9, 11]",2.0,3.47,5.47,1
27,[28],"[6, 0]",2.0,14.4,16.4,1
28,"[19, 28]","[7, 0, 1]",17.0,9.7,13.7,2
29,[18],"[6, 4]",2.0,5.92,7.92,1
30,[19],"[13, 3]",18.2,19.47,18.67,1
31,[29],"[3, 11]",4.0,11.08,13.08,1
32,[28],"[4, 5]",2.0,5.72,7.72,1
33,[19],"[9, 11]",2.0,3.47,5.47,1
34,[28],"[2, 6]",4.0,12.83,9.37,1
35,"[29, 18]","[8, 3, 0]",4.0,13.47,14.48,1
36,"[19, 18]","[9, 3, 4]",21.0,11.08,15.08,2
37,"[18, 29]","[4, 3, 9]",4.0,11.08,15.08,2
38,[29],"[9, 8]",2.0,3.47,5.47,1
39,[19],"[10, 0]",16.1,18.43,18.87,1
40,[19],"[12, 8]",2.0,12.53,14.53,1
41,"[29, 28]","[8, 3, 0]",6.0,14.75,14.48,1
42,-,-,-,-,19.65,1
43,"[28, 29]","[5, 3, 12]",25.9,22.63,26.58,2
44,"[29, 18]","[9, 3, 5]",16.7,13.53,17.53,2
45,[28],"[1, 4]",4.0,10.38,12.38,1
46,"[28, 29]","[2, 3, 13]",10.4,22.95,24.13,2
47,"[28, 19]","[1, 3, 11]",24.0,18.0,22.0,2
48,"[28, 19]","[1, 3, 11]",9.6,18.0,22.0,2
49,"[19, 18]","[10, 3, 5]",11.3,18.97,19.7,2
50,[29],"[9, 8]",2.0,3.47,5.47,1
51,"[19, 18]","[13, 3, 0]",14.9,25.98,26.32,1
52,[19],"[9, 8]",2.0,3.47,5.47,1
53,"[19, 18]","[8, 0, 2]",6.1,21.53,11.62,2
54,"[18, 19]","[5, 3, 9]",18.2,13.53,17.53,2
55,[18],"[3, 6]",4.0,6.6,7.72,1
56,"[18, 19]","[0, 3, 13]",16.3,26.1,26.32,1
57,[18],"[2, 3]",2.0,3.47,5.47,1
58,[19],"[10, 12]",2.0,6.92,8.92,1
59,[18],"[4, 6]",4.0,6.4,7.92,1
60,"[19, 28]","[12, 3, 0]",15.7,26.1,25.5,1
61,"[28, 29]","[2, 3, 11]",4.0,14.53,18.55,2
62,[29],"[10, 9]",2.0,2.5,4.5,1
63,[28],"[6, 2]",8.1,10.07,9.37,1
64,"[18, 29]","[0, 3, 9]",19.6,16.93,17.48,1
65,"[28, 29]","[6, 3, 8]",17.9,10.77,13.87,2
66,"[28, 19]","[5, 3, 9]",6.0,13.53,17.53,2
67,[18],"[6, 0]",16.7,16.3,16.4,1
68,"[28, 29]","[5, 3, 10]",21.6,15.7,19.7,2
69,[28],"[5, 1]",8.1,12.83,12.57,1
70,"[28, 29]","[2, 3, 9]",20.9,11.08,15.08,2
71,[18],"[6, 3]",2.0,5.72,7.72,1
72,[28],"[1, 4]",6.0,10.38,12.38,1
73,-,-,-,-,27.58,2
74,[28],"[0, 1]",2.0,6.23,8.23,1
75,[29],"[13, 8]",6.0,12.63,14.53,1
76,"[29, 28]","[11, 3, 1]",9.5,18.0,22.0,2
77,[29],"[3, 8]",2.0,4.15,6.15,1
78,"[29, 28]","[11, 3, 4]",16.9,14.53,18.55,2
79,"[29, 18]","[11, 3, 5]",24.0,17.0,21.0,2
