number,stop ID,arrival time,departure time,pick up users,drop of users
1,21,07:00:00,07:00:00,[],[]
2,23,07:14:20,08:23:16,"['66', '8']",[]
3,13,08:29:55,08:42:00,['81'],"['66', '8']"
4,21,08:55:43,08:57:43,['6'],['81']
5,24,09:15:33,09:17:33,[],['6']
6,23,09:21:28,12:00:40,['63'],[]
7,21,12:15:00,12:17:00,['57'],['63']
8,25,12:29:49,12:37:37,['33'],[]
9,13,12:40:32,12:42:32,[],"['33', '57']"
10,24,12:49:34,12:52:42,['93'],[]
11,21,13:10:32,16:54:57,['70'],['93']
12,22,17:00:29,17:02:29,['34'],[]
13,23,17:11:34,17:13:34,[],['70']
14,13,17:20:13,17:22:13,[],['34']
15,21,17:35:56,19:00:00,[],[]
