user ID,used buses,used transfer points,waiting time,ride time,shortest time possible,number of transfers(for shortest)
0,"[130, 114]","[20, 21, 22]",4.0,9.23,13.23,2
1,"[30, 14, 120, 110]","[19, 21, 13, 8, 7]",22.4,50.93,55.5,4
2,"[114, 120]","[21, 13, 12]",6.0,22.58,24.43,2
3,"[114, 30]","[23, 21, 0]",6.0,35.77,21.8,2
4,"[30, 21]","[17, 0, 2]",4.0,19.93,23.93,2
5,[130],"[18, 0]",4.0,13.12,13.57,1
6,"[114, 20, 30]","[22, 13, 0, 15]",24.3,24.72,27.05,2
7,[120],"[14, 4]",4.0,21.88,23.55,1
8,"[121, 20]","[1, 0, 13]",24.0,17.35,21.35,2
9,"[110, 120, 114, 130]","[7, 8, 13, 21, 16]",14.8,58.32,48.08,3
10,[121],"[2, 0]",2.0,11.42,13.42,1
11,"[110, 120]","[7, 8, 0]",8.6,35.62,39.62,2
12,"[110, 120]","[5, 8, 12]",10.7,30.67,23.47,2
13,[114],"[24, 25]",2.0,5.53,7.53,1
14,"[10, 20, 14]","[7, 4, 13, 25]",13.7,36.55,36.23,3
15,[20],"[12, 14]",2.0,6.72,8.72,1
16,"[20, 14]","[12, 13, 22]",18.6,22.47,21.03,2
17,[10],"[7, 4]",2.0,11.15,13.15,1
18,[20],"[8, 13]",9.5,35.4,23.93,1
19,"[110, 120]","[5, 8, 9]",8.7,24.83,19.52,2
20,"[30, 114, 20]","[16, 21, 13, 9]",12.2,39.78,29.93,2
21,"[120, 14]","[12, 13, 24]",8.0,13.75,17.75,2
22,[114],"[22, 24]",2.0,12.82,14.82,1
23,[20],"[9, 14]",4.0,15.7,14.55,1
24,[121],"[2, 0]",2.0,11.42,13.42,1
25,"[120, 14]","[14, 13, 25]",4.0,6.62,10.62,2
26,"[120, 10, 21]","[13, 8, 4, 3]",8.7,45.38,32.0,2
27,"[14, 130]","[25, 21, 16]",8.0,38.33,26.53,3
28,[10],"[4, 6]",2.0,8.7,10.7,1
29,"[20, 114]","[8, 13, 22]",27.2,33.08,36.25,2
30,"[114, 20]","[21, 13, 8]",10.3,35.67,39.65,2
31,"[20, 14]","[14, 13, 23]",4.1,10.35,14.35,2
32,[30],"[0, 19]",2.0,14.07,16.07,1
33,"[14, 130]","[24, 21, 19]",4.0,24.28,28.3,2
34,"[130, 114, 120]","[16, 21, 13, 12]",8.0,36.63,24.32,2
35,"[30, 120]","[17, 0, 14]",12.8,19.93,20.45,2
36,"[110, 120, 14, 30]","[6, 8, 13, 21, 20]",29.6,50.92,54.57,4
37,"[114, 30]","[23, 21, 19]",4.0,20.78,24.8,2
38,"[130, 114]","[15, 21, 22]",9.9,23.28,27.05,2
39,"[30, 121]","[18, 0, 2]",21.0,22.98,26.98,2
40,"[21, 120]","[2, 0, 12]",19.7,25.27,29.27,2
41,[120],"[11, 8]",4.0,23.73,15.72,1
42,"[14, 120]","[22, 13, 8]",15.3,33.55,36.25,2
43,"[110, 120, 30]","[7, 8, 0, 16]",31.0,42.08,48.08,3
44,"[10, 20]","[5, 8, 9]",17.8,20.0,19.52,2
45,"[21, 30]","[3, 0, 18]",17.6,28.42,32.42,2
46,[120],"[8, 9]",2.0,10.77,12.77,1
47,"[110, 121]","[6, 4, 1]",17.4,29.02,33.0,2
48,"[14, 20]","[22, 13, 0]",25.0,21.47,25.47,2
49,"[30, 120]","[16, 0, 12]",12.8,21.12,24.32,2
