user ID,used buses,used transfer points,waiting time,ride time,shortest time possible,number of transfers(for shortest)
0,"[110, 120]","[7, 4, 13]",14.0,33.95,31.32,2
1,-,-,-,-,14.55,1
2,"[20, 121]","[13, 0, 2]",12.4,22.88,26.57,2
3,-,-,-,-,32.53,2
4,[20],"[8, 13]",9.6,23.32,23.93,1
5,-,-,-,-,29.57,2
6,"[120, 110]","[12, 4, 5]",25.0,19.47,23.47,2
7,-,-,-,-,29.57,2
8,-,-,-,-,17.77,1
9,"[21, 10]","[2, 4, 7]",6.0,26.25,29.92,2
10,"[21, 110]","[3, 4, 8]",13.4,26.05,26.15,2
11,[20],"[8, 0]",11.6,34.48,32.23,1
12,"[20, 121]","[12, 0, 1]",12.4,24.07,24.05,2
13,[120],"[11, 13]",2.0,11.68,13.68,1
14,-,-,-,-,25.05,2
15,-,-,-,-,29.0,2
16,"[110, 120]","[8, 4, 11]",6.0,23.73,15.72,1
17,"[120, 121]","[13, 4, 2]",11.3,37.27,26.57,2
18,-,-,-,-,18.13,2
19,[10],"[6, 7]",2.0,2.77,4.77,1
20,-,-,-,-,30.58,2
21,-,-,-,-,6.97,1
22,"[10, 21]","[5, 4, 3]",17.1,12.92,16.93,2
23,-,-,-,-,30.22,2
24,-,-,-,-,19.52,2
25,[10],"[7, 6]",2.0,2.77,4.77,1
26,-,-,-,-,19.15,2
27,-,-,-,-,25.15,1
28,-,-,-,-,21.98,2
29,[20],"[11, 0]",2.0,16.97,18.97,1
30,[21],"[3, 4]",2.0,9.23,11.23,1
31,[121],"[2, 0]",16.5,11.73,13.42,1
32,"[121, 20]","[1, 0, 13]",9.8,17.35,21.35,2
33,-,-,-,-,24.38,2
34,[21],"[2, 3]",2.0,5.53,7.53,1
35,-,-,-,-,24.03,2
36,"[121, 10]","[2, 4, 5]",24.0,18.47,22.47,2
37,"[120, 110]","[10, 4, 5]",14.9,9.6,13.62,2
38,-,-,-,-,12.77,1
39,-,-,-,-,28.0,1
40,"[110, 120]","[5, 4, 12]",4.0,19.47,23.47,2
41,-,-,-,-,25.05,2
42,[20],"[9, 12]",2.0,5.83,7.83,1
43,[20],"[0, 11]",2.0,16.97,18.97,1
44,-,-,-,-,24.48,1
45,"[20, 121]","[13, 0, 3]",26.6,28.42,32.0,2
46,-,-,-,-,24.48,1
47,"[20, 121]","[13, 0, 1]",10.4,17.35,21.35,2
48,"[10, 120]","[5, 4, 11]",4.0,14.5,18.5,2
49,"[120, 21]","[10, 4, 2]",16.9,20.68,24.68,2
50,[20],"[14, 13]",2.0,3.7,5.7,1
51,-,-,-,-,12.77,1
52,"[10, 121]","[7, 4, 2]",13.6,26.25,29.92,2
53,"[120, 10]","[11, 4, 7]",21.8,22.28,23.1,2
54,-,-,-,-,23.5,2
55,[121],"[1, 3]",16.2,11.08,13.08,1
56,-,-,-,-,15.72,1
57,-,-,-,-,30.22,2
58,-,-,-,-,38.7,2
59,-,-,-,-,15.85,1
60,-,-,-,-,23.35,2
61,[21],"[3, 1]",4.0,11.08,13.08,1
62,-,-,-,-,17.77,1
63,"[120, 110]","[10, 4, 6]",16.9,15.52,18.62,2
64,-,-,-,-,7.92,1
65,[20],"[9, 13]",4.0,12.55,14.0,1
66,-,-,-,-,33.15,2
67,[121],"[4, 0]",18.6,26.5,28.0,1
68,"[21, 20]","[2, 0, 12]",26.0,25.27,29.27,2
69,[20],"[8, 13]",14.0,23.23,23.93,1
70,"[121, 20, 110]","[1, 0, 8, 7]",13.8,44.67,35.45,2
71,[120],"[4, 12]",2.0,15.77,17.77,1
72,-,-,-,-,12.77,1
73,"[10, 120]","[6, 4, 12]",23.0,24.48,27.73,2
74,[20],"[9, 0]",6.0,23.72,21.47,1
75,"[120, 110]","[10, 8, 6]",6.0,18.47,18.62,2
76,"[20, 110]","[0, 8, 7]",6.0,38.48,39.62,2
77,-,-,-,-,9.93,1
78,[121],"[1, 3]",16.2,11.08,13.08,1
79,-,-,-,-,32.53,2
