user ID,used buses,used transfer points,waiting time,ride time,shortest time possible,number of transfers(for shortest)
0,[16],"[8, 16]",6.0,16.87,12.98,1
1,[6],"[11, 6]",4.0,12.73,14.73,1
2,[16],"[15, 0]",4.0,21.68,19.3,1
3,[16],"[14, 6]",2.0,6.92,8.92,1
4,[16],"[0, 16]",6.0,28.97,18.77,1
5,"[10, 6]","[20, 6, 16]",6.0,7.57,11.57,2
6,[6],"[7, 16]",2.0,10.28,12.28,1
7,[0],"[19, 18]",2.0,1.82,3.82,1
8,[16],"[14, 15]",2.0,2.57,4.57,1
9,[10],"[17, 4]",2.0,6.55,8.55,1
10,[6],"[9, 8]",2.0,1.28,3.28,1
11,"[6, 10]","[10, 6, 20]",11.4,16.12,20.12,2
12,"[0, 16]","[0, 6, 14]",16.1,25.03,21.12,1
13,[6],"[8, 0]",2.0,13.42,15.42,1
14,-,-,-,-,12.37,1
15,"[16, 0]","[11, 6, 3]",8.0,21.75,24.45,2
16,"[16, 0]","[12, 6, 3]",15.5,18.08,22.08,2
17,[0],"[19, 4]",4.0,6.73,7.75,1
18,-,-,-,-,15.42,1
19,[16],"[7, 12]",17.6,10.5,12.05,1
20,"[10, 6]","[2, 6, 8]",13.7,25.15,22.87,2
21,[0],"[18, 2]",8.0,18.62,17.05,1
22,"[16, 10]","[8, 6, 17]",16.5,20.23,19.53,2
23,"[6, 0]","[16, 6, 19]",4.0,4.7,8.68,2
24,[10],"[5, 18]",6.0,8.02,7.3,1
25,"[10, 6]","[17, 6, 14]",5.5,9.8,13.78,2
26,[10],"[20, 18]",2.0,3.85,5.85,1
27,"[10, 6]","[17, 6, 8]",9.6,21.35,19.53,2
28,"[10, 6]","[19, 6, 13]",9.2,12.52,16.23,2
29,[10],"[4, 19]",2.0,5.75,7.75,1
30,"[0, 16]","[17, 6, 16]",18.0,4.7,8.68,2
31,[0],"[18, 2]",8.0,18.62,17.05,1
32,"[0, 16]","[2, 0, 11]",25.4,23.98,27.35,2
33,"[16, 10]","[12, 6, 17]",6.0,13.43,17.23,2
34,[10],"[2, 6]",4.0,12.48,14.2,1
35,[0],"[6, 20]",2.0,5.75,7.75,1
36,[10],"[5, 20]",8.0,11.87,9.27,1
37,[10],"[1, 17]",8.0,16.5,17.63,1
38,"[16, 0]","[16, 6, 1]",8.9,16.27,19.23,2
39,"[16, 10]","[8, 6, 20]",18.0,24.43,22.42,2
40,[10],"[3, 1]",2.0,6.43,8.43,1
41,"[6, 0]","[7, 6, 20]",15.4,17.85,21.4,2
42,[6],"[7, 16]",2.0,10.28,12.28,1
43,"[16, 10]","[9, 6, 18]",14.2,20.2,18.37,2
44,"[6, 0]","[14, 6, 3]",4.7,14.63,18.63,2
45,[6],"[6, 0]",6.9,24.73,19.25,1
46,[16],"[9, 16]",8.0,15.52,11.8,1
47,[16],"[9, 12]",2.0,6.43,8.43,1
48,-,-,-,-,24.33,2
49,-,-,-,-,23.08,1
50,"[16, 0]","[14, 6, 1]",10.9,21.57,24.33,2
51,-,-,-,-,24.33,2
52,[10],"[4, 5]",2.0,1.28,3.28,1
53,"[6, 0]","[10, 6, 3]",6.7,21.2,22.08,2
54,[0],"[6, 3]",4.0,7.72,9.72,1
55,[10],"[6, 4]",2.0,3.85,5.85,1
56,"[16, 10]","[16, 6, 20]",8.7,7.57,11.57,2
57,[16],"[13, 16]",2.0,7.82,9.82,1
58,[6],"[8, 0]",2.0,13.42,15.42,1
59,[16],"[9, 11]",2.0,4.07,6.07,1
60,[0],"[1, 20]",6.0,19.17,19.87,1
61,"[10, 6]","[19, 6, 11]",22.9,16.72,19.6,2
62,[16],"[12, 15]",2.0,5.75,7.75,1
63,-,-,-,-,16.37,1
64,[10],"[4, 6]",2.0,3.85,5.85,1
65,"[0, 16]","[18, 6, 7]",4.0,14.52,18.52,2
66,[6],"[7, 16]",2.0,10.28,12.28,1
67,-,-,-,-,21.63,1
68,"[6, 10]","[11, 6, 5]",4.0,15.3,19.3,2
69,"[0, 16]","[2, 0, 11]",25.4,23.98,27.35,2
70,[10],"[2, 5]",4.0,9.92,11.8,1
71,"[16, 0]","[16, 6, 0]",4.0,19.07,18.77,1
72,"[6, 0]","[10, 0, 1]",9.2,19.02,23.0,2
73,"[0, 16]","[5, 6, 12]",11.8,12.93,16.93,2
74,"[0, 6]","[17, 6, 13]",4.0,12.23,16.23,2
75,[6],"[6, 8]",2.0,12.67,14.67,1
76,"[0, 16]","[4, 6, 16]",10.1,5.68,9.67,2
77,"[6, 0]","[8, 6, 20]",10.0,23.12,22.42,2
78,[6],"[6, 10]",5.5,16.85,12.37,1
79,"[16, 0]","[15, 6, 20]",19.2,10.45,14.38,2
