user ID,used buses,used transfer points,waiting time,ride time,shortest time possible,number of transfers(for shortest)
0,"[16, 10]","[8, 0, 3]",4.0,24.33,24.38,2
1,"[0, 16]","[2, 0, 10]",8.0,21.92,23.82,2
2,"[6, 10]","[13, 6, 20]",4.0,15.12,19.12,2
3,[0],"[4, 6]",2.0,3.85,5.85,1
4,"[6, 0]","[14, 6, 2]",4.0,19.12,23.12,2
5,[10],"[3, 4]",2.0,3.85,5.85,1
6,"[0, 16]","[1, 0, 8]",4.0,18.07,22.05,2
7,[10],"[6, 19]",2.0,2.87,4.87,1
8,"[10, 6]","[5, 6, 14]",4.0,9.5,13.48,2
9,"[6, 0]","[12, 6, 17]",23.0,13.23,17.23,2
