number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,07:00:00,[],[]
2,1,07:04:38,08:17:00,['38'],[]
3,6,08:30:25,08:34:52,"['82', '17']",['38']
4,4,08:38:43,08:40:43,[],['17']
5,3,08:44:34,08:46:34,[],['82']
6,2,08:52:01,09:26:37,['35'],[]
7,3,09:32:04,09:34:04,['13'],[]
8,4,09:37:55,09:47:00,['59'],['35']
9,5,09:48:17,09:52:00,['60'],[]
10,6,09:54:34,09:56:34,[],"['60', '59']"
11,19,09:59:26,10:04:45,['88'],['13']
12,6,10:07:37,10:09:37,['39'],[]
13,1,10:23:02,10:27:06,[],"['39', '88']"
14,2,10:28:23,10:33:25,['55'],[]
15,3,10:38:52,10:40:52,['85'],[]
16,5,10:46:01,10:48:01,['32'],[]
17,6,10:50:35,10:52:39,"['87', '29', '42', '53']","['85', '32']"
18,17,10:55:31,11:01:43,[],"['87', '55', '53']"
19,18,11:04:17,11:06:17,[],['29']
20,20,11:10:08,11:12:08,[],['42']
21,19,11:15:00,11:17:00,['56'],[]
22,6,11:19:52,11:21:52,[],['56']
23,0,11:39:07,19:00:00,[],[]
