number,stop ID,arrival time,departure time,pick up users,drop of users
1,6,07:00:00,08:52:51,"['39', '70']",[]
2,28,09:07:13,09:13:37,"['36', '10', '68']","['39', '70']"
3,30,09:20:10,09:22:10,[],['68']
4,6,09:29:59,09:46:40,[],"['36', '10']"
5,17,09:49:32,10:17:00,['9'],[]
6,6,10:19:52,11:32:21,"['48', '42']",['9']
7,17,11:35:13,11:37:13,[],['42']
8,31,11:47:30,11:51:30,[],['48']
9,29,11:57:56,12:47:00,['20'],[]
10,6,12:52:45,12:54:45,[],['20']
11,29,13:00:30,13:52:00,['16'],[]
12,28,14:01:00,15:02:28,"['65', '76']",['16']
13,29,15:11:28,15:13:28,['71'],[]
14,6,15:19:13,15:24:15,[],"['71', '65', '76']"
15,29,15:30:00,15:32:00,['28'],[]
16,17,15:35:51,15:38:19,['35'],['28']
17,28,15:51:10,16:28:36,"['34', '24', '17']",['35']
18,31,16:31:10,16:33:10,['18'],[]
19,29,16:39:36,16:41:36,[],['34']
20,6,16:47:21,19:00:00,[],"['24', '17', '18']"
