user ID,used buses,used transfer points,waiting time,ride time,shortest time possible,number of transfers(for shortest)
0,[17],"[22, 28]",2.0,13.12,15.12,1
1,[16],"[7, 10]",2.0,4.63,6.63,1
2,[8],"[17, 29]",2.0,3.85,5.85,1
3,"[10, 7]","[6, 0, 21]",6.0,22.7,25.88,2
4,"[6, 7]","[8, 0, 26]",14.0,29.85,32.08,2
5,"[17, 16]","[28, 0, 8]",10.7,32.97,31.03,2
6,"[7, 10]","[24, 0, 5]",8.0,26.32,28.8,2
7,"[10, 6]","[1, 0, 11]",21.4,23.42,26.53,2
8,"[6, 10]","[15, 6, 20]",18.5,10.38,14.38,2
9,[6],"[10, 15]",2.0,6.55,8.55,1
10,[16],"[11, 8]",2.0,4.63,6.63,1
11,"[0, 18]","[1, 17, 29]",8.2,20.2,23.17,2
12,"[7, 8, 6]","[26, 28, 6, 11]",23.2,33.05,36.57,2
13,[7],"[25, 28]",10.2,7.2,8.92,1
14,"[7, 10]","[21, 0, 18]",8.0,25.18,28.75,2
15,[16],"[8, 9]",2.0,1.28,3.28,1
16,-,-,-,-,22.48,2
17,-,-,-,-,31.1,2
18,"[7, 8]","[23, 28, 17]",7.3,24.72,28.7,2
19,"[18, 0]","[28, 6, 19]",8.4,17.33,20.92,2
20,[18],"[31, 30]",2.0,4.07,6.07,1
21,"[16, 18, 17]","[10, 6, 28, 27]",23.9,28.38,34.27,2
22,[18],"[6, 29]",2.0,5.75,7.75,1
23,"[10, 6]","[2, 6, 16]",16.0,14.02,18.02,2
24,[16],"[13, 10]",4.0,10.28,9.5,1
25,[17],"[25, 27]",2.0,3.85,5.85,1
26,"[0, 16]","[19, 6, 11]",20.4,19.08,19.6,2
27,"[10, 16]","[2, 6, 15]",10.2,17.8,20.83,2
28,"[17, 8]","[24, 28, 29]",6.5,18.37,22.37,2
29,[6],"[14, 7]",4.0,12.95,12.37,1
30,[16],"[13, 10]",2.0,7.5,9.5,1
31,"[6, 10]","[11, 6, 20]",22.5,20.0,22.48,2
32,[10],"[5, 19]",4.0,5.45,6.63,1
33,"[6, 18]","[12, 6, 30]",20.4,18.2,22.18,2
34,[17],"[24, 26]",2.0,5.15,7.15,1
35,-,-,-,-,34.1,2
36,"[7, 0]","[24, 0, 4]",6.0,24.22,27.7,2
37,"[10, 7]","[18, 0, 21]",8.0,25.57,28.75,2
38,-,-,-,-,18.63,2
39,"[0, 18, 17]","[19, 6, 28, 27]",10.2,20.88,26.55,3
40,[8],"[6, 28]",4.0,14.38,16.37,1
41,"[7, 8, 10]","[26, 28, 6, 2]",10.2,31.2,24.12,2
42,"[16, 8, 17]","[14, 6, 28, 21]",11.4,38.3,27.75,2
43,"[17, 18, 0]","[21, 28, 6, 18]",16.9,33.83,28.75,2
44,"[17, 18]","[0, 28, 29]",14.9,29.85,26.97,2
45,[16],"[13, 11]",2.0,6.43,8.43,1
46,-,-,-,-,20.12,2
47,"[7, 10]","[22, 0, 3]",11.9,17.33,21.35,2
48,[6],"[13, 16]",2.0,7.82,9.82,1
49,"[16, 10]","[13, 0, 2]",19.2,27.33,25.57,2
50,"[7, 8]","[22, 28, 17]",9.3,26.0,29.55,2
51,"[7, 16]","[28, 0, 8]",20.2,33.85,31.03,2
52,[17],"[21, 26]",6.0,11.57,13.57,1
53,-,-,-,-,25.35,2
54,"[10, 8]","[2, 6, 30]",24.0,20.98,24.02,2
55,"[6, 18, 17]","[9, 6, 28, 27]",14.2,38.15,33.75,2
56,"[0, 18, 17]","[18, 6, 28, 27]",25.2,20.88,25.05,3
57,[6],"[16, 14]",2.0,5.3,7.3,1
58,[16],"[10, 15]",2.0,6.55,8.55,1
59,[6],"[0, 8]",2.0,13.42,15.42,1
