number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,07:00:00,[],[]
2,2,07:07:08,08:39:58,['38'],[]
3,4,08:46:53,08:48:53,['47'],['38']
4,6,08:54:48,08:57:00,['7'],['47']
5,5,08:57:42,09:00:54,['31'],[]
6,4,09:06:37,09:08:37,"['17', '49']",['7']
7,3,09:12:05,09:14:05,[],"['31', '17', '49']"
8,5,09:20:00,09:22:00,['1'],[]
9,4,09:27:43,09:42:00,['25'],['1']
10,0,09:54:07,09:56:07,[],['25']
11,1,10:02:21,10:06:32,['5'],[]
12,2,10:10:00,10:12:00,['0'],[]
13,3,10:15:28,10:21:08,"['12', '29', '48']",['5']
14,4,10:24:36,10:26:36,[],"['29', '12', '48']"
15,5,10:32:19,10:34:19,[],['0']
16,1,10:44:53,11:27:00,['10'],[]
17,3,11:33:55,11:35:55,['40'],[]
18,4,11:39:23,11:41:23,['21'],['10']
19,6,11:47:18,11:49:18,[],"['21', '40']"
20,5,11:50:00,11:52:00,['26'],[]
21,4,11:57:43,11:59:43,[],['26']
22,6,12:05:38,12:07:38,['9'],[]
23,3,12:13:21,12:15:21,['42'],['9']
24,4,12:18:49,13:30:42,"['32', '24']",['42']
25,6,13:36:37,13:38:37,[],"['24', '32']"
26,2,13:45:59,13:47:59,['15'],[]
27,3,13:51:27,13:53:27,['18'],[]
28,4,13:56:55,13:58:55,['19'],['15']
29,5,14:04:38,14:07:00,['45'],"['19', '18']"
30,4,14:12:43,14:14:43,['33'],['45']
31,3,14:18:11,14:20:11,[],['33']
32,0,14:29:30,19:00:00,[],[]
