number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,09:19:52,"['54', '56']",[]
2,4,09:31:59,09:47:47,[],"['54', '56']"
3,3,09:51:15,09:53:15,"['40', '55']",[]
4,5,09:59:10,10:15:10,[],"['40', '55']"
5,3,10:21:05,10:37:00,['67'],[]
6,0,10:46:19,11:33:22,['71'],['67']
7,4,11:45:29,12:09:15,"['20', '6']",['71']
8,3,12:12:43,12:14:43,['75'],"['20', '6']"
9,4,12:18:11,12:20:11,['17'],['75']
10,6,12:26:06,12:33:42,[],['17']
11,4,12:39:37,12:46:32,"['14', '10']",[]
12,3,12:50:00,13:22:41,['33'],"['14', '10']"
13,1,13:29:36,13:32:00,['64'],[]
14,0,13:38:14,14:07:00,['60'],"['33', '64']"
15,2,14:14:08,14:17:00,['69'],[]
16,3,14:20:28,14:22:28,[],['69']
17,4,14:25:56,14:27:56,[],['60']
18,3,14:31:24,15:15:05,['21'],[]
19,4,15:18:33,15:39:53,"['28', '51']",['21']
20,3,15:43:21,15:45:21,[],"['28', '51']"
21,4,15:48:49,16:41:54,['25'],[]
22,3,16:45:22,16:47:22,[],['25']
23,0,16:56:41,19:00:00,[],[]
