user ID,used buses,used transfer points,waiting time,ride time,shortest time possible,number of transfers(for shortest)
0,"[164, 19, 8, 4]","[25, 13, 3, 4, 20]",34.0,40.62,48.62,4
1,"[8, 4]","[2, 4, 19]",10.2,16.17,20.15,2
2,"[18, 19, 64]","[4, 3, 13, 12]",10.0,23.68,28.9,3
3,"[19, 164]","[8, 13, 26]",14.1,18.92,22.92,2
4,"[19, 8]","[9, 3, 2]",4.3,11.08,15.08,2
5,"[18, 4, 92]","[3, 4, 0, 23]",19.7,30.95,28.68,2
6,"[9, 18, 14]","[9, 3, 4, 19]",26.2,22.15,26.32,3
7,"[14, 18, 19, 64]","[18, 4, 3, 13, 27]",14.0,34.65,41.52,4
8,[14],"[14, 18]",14.5,16.9,17.98,1
9,"[64, 9]","[26, 13, 7]",26.4,30.3,33.73,2
10,"[19, 8, 192]","[8, 3, 0, 23]",8.5,32.68,30.63,3
11,"[8, 14]","[6, 4, 18]",22.0,14.92,18.92,2
12,"[9, 64]","[3, 13, 25]",26.0,23.23,27.23,2
13,"[4, 8, 92]","[16, 4, 0, 23]",15.1,35.72,28.78,2
14,"[8, 9]","[5, 3, 8]",4.0,10.07,14.07,2
15,[9],"[8, 11]",2.0,6.92,8.92,1
16,"[164, 9, 18, 4]","[25, 13, 3, 4, 19]",16.2,36.05,43.93,4
17,[19],"[7, 10]",14.0,16.92,18.05,1
18,"[9, 18, 14]","[7, 3, 4, 14]",8.0,20.43,13.0,2
19,"[9, 18]","[11, 3, 4]",22.3,15.22,18.55,2
20,"[9, 164]","[8, 13, 12]",4.0,15.3,19.3,2
21,"[14, 18, 9]","[17, 4, 3, 13]",18.6,25.08,31.03,3
22,[19],"[13, 11]",2.0,5.72,7.72,1
23,"[19, 64]","[7, 13, 26]",24.0,32.77,33.73,2
24,"[92, 19]","[21, 0, 11]",22.9,30.9,30.75,3
25,"[4, 18]","[18, 4, 6]",6.0,15.4,18.92,2
26,[14],"[15, 19]",18.7,17.47,17.25,1
27,[164],"[26, 27]",2.0,3.47,5.47,1
28,[4],"[19, 16]",6.0,14.8,14.48,1
29,"[19, 18, 14]","[11, 3, 4, 15]",18.2,20.92,26.93,3
30,[9],"[10, 9]",2.0,2.5,4.5,1
31,"[64, 92]","[25, 24, 0]",7.3,25.03,29.02,2
32,"[64, 19, 8]","[26, 13, 3, 1]",17.9,31.48,35.97,3
33,[92],"[22, 24]",2.0,9.03,11.03,1
34,[92],"[22, 23]",2.0,3.53,5.53,1
35,[92],"[0, 23]",2.0,15.37,17.37,1
36,"[18, 19, 64]","[6, 3, 13, 26]",28.1,29.67,34.77,3
37,"[8, 14]","[3, 4, 15]",21.0,9.85,13.85,2
38,[9],"[11, 13]",2.0,5.72,7.72,1
39,"[19, 18, 14]","[9, 3, 4, 18]",27.0,20.08,26.08,3
40,[192],"[22, 0]",2.0,11.85,13.85,1
41,[164],"[13, 26]",2.0,6.38,8.38,1
42,"[9, 18]","[11, 3, 2]",7.3,14.53,18.55,2
43,"[18, 14]","[1, 4, 14]",13.5,20.23,15.77,2
44,"[92, 19]","[23, 0, 3]",24.6,26.08,28.68,2
45,[14],"[19, 14]",15.5,19.08,17.48,1
46,[64],"[12, 24]",2.0,4.03,6.03,1
47,[19],"[13, 3]",11.8,16.72,18.67,1
48,"[192, 4]","[21, 0, 4]",6.0,22.0,24.68,2
49,"[9, 164]","[7, 13, 12]",9.1,26.58,30.12,2
50,"[164, 9, 18, 14]","[12, 13, 3, 4, 17]",24.4,27.92,35.8,4
51,[19],"[8, 7]",2.0,10.95,12.95,1
52,[19],"[3, 10]",2.0,9.78,11.78,1
53,"[9, 8]","[11, 3, 4]",22.4,14.53,18.55,2
54,"[8, 192]","[4, 0, 23]",12.0,32.23,31.48,2
55,"[8, 14]","[2, 4, 17]",4.6,11.82,15.82,2
56,[8],"[1, 5]",6.0,16.1,12.57,1
57,[8],"[6, 1]",11.3,12.63,11.98,1
58,"[8, 4]","[0, 4, 17]",19.0,17.67,17.67,1
59,[19],"[0, 3]",4.0,10.58,11.32,1
60,"[164, 92, 4]","[13, 24, 0, 20]",12.8,51.3,40.05,3
61,"[14, 8]","[20, 4, 3]",14.9,17.38,21.38,2
62,"[19, 164]","[3, 13, 26]",6.0,23.63,27.05,2
63,"[92, 4]","[24, 0, 18]",6.0,39.47,43.3,2
