number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,07:00:00,[],[]
2,1,07:06:14,08:02:00,['19'],[]
3,0,08:08:14,08:10:14,[],['19']
4,4,08:22:21,08:55:25,"['4', '49']",[]
5,3,08:58:53,09:23:09,['1'],"['4', '49']"
6,0,09:32:28,09:46:00,[],['1']
7,1,09:52:14,09:54:14,['3'],[]
8,2,09:57:42,09:59:42,['47'],[]
9,4,10:06:37,10:25:37,['13'],"['47', '3']"
10,0,10:37:44,12:27:52,"['37', '39']",['13']
11,2,12:35:00,12:37:00,['43'],[]
12,3,12:40:28,12:42:28,[],['43']
13,4,12:45:56,12:47:56,['32'],"['37', '39']"
14,3,12:51:24,13:35:31,['12'],['32']
15,6,13:41:14,13:43:14,[],['12']
16,5,13:43:56,13:45:56,['36'],[]
17,4,13:51:39,13:53:39,['17'],[]
18,3,13:57:07,14:06:35,[],['17']
19,1,14:13:30,14:15:30,[],['36']
20,0,14:21:44,19:00:00,[],[]
