number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,07:00:00,[],[]
2,7,07:03:28,08:30:44,['32'],[]
3,9,08:45:00,08:47:00,['36'],[]
4,10,08:49:30,08:51:30,[],['32']
5,13,08:58:57,09:07:00,"['48', '2']",['36']
6,8,09:19:32,09:34:04,['9'],[]
7,3,09:38:13,09:40:13,['12'],"['48', '9', '2']"
8,0,09:49:32,09:51:32,['20'],['12']
9,7,09:55:00,09:57:00,[],['20']
10,0,10:00:28,10:20:20,"['44', '33']",[]
11,7,10:23:48,10:25:48,[],['33']
12,3,10:32:56,10:35:51,['7'],['44']
13,8,10:40:00,10:42:00,['41'],[]
14,10,10:47:43,10:49:43,['25'],[]
15,13,10:57:10,10:59:10,"['30', '18', '29']","['25', '41', '7']"
16,10,11:06:37,11:08:37,[],['18']
17,3,11:18:24,11:20:24,[],['29']
18,0,11:29:43,19:00:00,[],['30']
