number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,08:05:53,[],[]
2,1,08:12:05,08:14:05,['33'],[]
3,4,08:34:23,08:36:23,[],['33']
4,3,08:45:37,08:47:37,['12'],[]
5,1,08:58:42,09:00:42,['19'],[]
6,0,09:06:54,09:08:54,"['10', '1']","['12', '19']"
7,1,09:15:06,09:17:06,[],"['10', '1']"
8,0,09:23:18,09:25:18,['29'],[]
9,1,09:31:30,09:33:30,[],['29']
10,2,09:39:02,09:41:02,['11'],[]
11,3,09:46:34,09:48:34,['7'],[]
12,4,09:57:48,10:45:09,"['56', '50']","['7', '11']"
13,0,11:11:09,19:00:00,[],"['56', '50']"
