user ID,used buses,used transfer points,waiting time,ride time,shortest time possible,number of transfers(for shortest)
0,"[120, 21]","[10, 4, 3]",21.8,15.13,19.15,2
1,[110],"[5, 4]",2.0,3.7,5.7,1
2,"[121, 20, 10]","[2, 4, 8, 7]",18.9,33.07,29.92,2
3,[21],"[3, 4]",2.0,9.23,11.23,1
4,[20],"[10, 9]",2.0,5.92,7.92,1
5,"[20, 10]","[14, 8, 7]",11.5,28.7,32.53,2
6,"[20, 121]","[12, 4, 1]",9.0,36.08,24.05,2
7,[110],"[6, 5]",2.0,5.92,7.92,1
8,"[110, 121]","[5, 4, 0]",4.0,29.68,33.7,2
9,[110],"[4, 7]",4.0,11.48,13.15,1
10,[21],"[3, 0]",2.0,16.85,18.85,1
11,[121],"[1, 4]",10.2,20.3,22.3,1
12,-,-,-,-,18.13,2
13,"[20, 21]","[9, 0, 1]",10.1,34.62,29.67,2
14,"[120, 121]","[11, 4, 2]",26.0,25.57,29.57,2
15,"[120, 121]","[14, 0, 3]",12.9,25.22,28.78,2
16,[121],"[1, 3]",2.0,11.08,13.08,1
17,"[121, 20]","[3, 0, 12]",19.5,31.5,29.0,2
18,"[10, 121]","[8, 4, 1]",4.0,33.23,37.22,2
19,[20],"[0, 10]",6.4,37.58,24.2,1
20,"[21, 20]","[2, 0, 12]",25.7,25.58,29.27,2
21,[20],"[13, 9]",12.3,15.5,14.0,1
22,"[121, 110]","[2, 4, 6]",10.8,23.48,27.47,2
23,"[121, 120]","[4, 0, 14]",4.0,33.93,23.55,1
24,"[20, 121]","[14, 0, 3]",6.0,25.22,28.78,2
25,[20],"[4, 11]",2.0,10.8,12.8,1
26,"[20, 121]","[11, 4, 3]",4.0,20.03,24.03,2
27,-,-,-,-,29.25,2
28,"[21, 110]","[2, 4, 8]",22.9,31.78,31.68,2
29,"[21, 20]","[2, 0, 12]",4.0,25.27,29.27,2
30,[110],"[5, 7]",2.0,7.93,9.93,1
31,"[110, 20]","[7, 4, 10]",14.3,18.28,19.7,2
32,[120],"[14, 11]",2.0,11.08,13.08,1
33,"[121, 10]","[2, 4, 8]",11.8,27.7,31.68,2
34,"[21, 110]","[1, 4, 7]",8.0,31.78,35.45,2
35,"[110, 21]","[5, 4, 1]",26.0,24.0,28.0,2
36,"[120, 110]","[10, 4, 7]",22.6,17.07,19.7,2
37,"[20, 110]","[9, 8, 6]",8.0,18.92,21.98,2
38,[21],"[0, 1]",2.0,6.2,8.2,1
39,[120],"[11, 4]",2.0,10.8,12.8,1
40,[121],"[1, 4]",4.0,20.3,22.3,1
41,"[20, 10]","[9, 8, 6]",9.5,18.92,21.98,2
42,[110],"[6, 7]",2.0,2.77,4.77,1
43,[21],"[0, 3]",5.6,16.95,18.85,1
44,"[10, 20]","[7, 8, 13]",23.9,27.32,31.32,2
45,[120],"[4, 9]",2.0,11.82,13.82,1
46,[121],"[3, 0]",13.5,16.95,18.85,1
47,[120],"[14, 9]",2.0,12.55,14.55,1
48,"[110, 21]","[6, 4, 3]",6.1,17.93,21.93,2
49,[120],"[11, 4]",2.0,10.8,12.8,1
50,"[21, 110]","[3, 4, 8]",25.0,22.15,26.15,2
51,"[21, 120]","[3, 4, 14]",6.5,35.4,28.78,2
52,-,-,-,-,23.93,1
53,"[20, 110]","[10, 4, 7]",6.0,17.07,19.7,2
54,"[21, 20]","[1, 0, 12]",10.0,20.03,24.05,2
55,"[110, 20]","[6, 4, 9]",14.3,21.42,21.98,2
56,-,-,-,-,14.55,1
57,"[110, 20]","[6, 8, 10]",14.5,18.47,18.62,2
58,[110],"[6, 4]",6.1,9.6,10.7,1
59,[20],"[12, 11]",2.0,4.97,6.97,1
60,"[20, 110]","[13, 8, 7]",6.9,32.72,31.32,2
61,"[10, 121, 120]","[6, 4, 0, 13]",8.0,46.33,33.15,2
62,"[120, 121]","[12, 0, 1]",24.1,20.85,24.05,2
63,[121],"[2, 0]",2.0,11.42,13.42,1
64,"[120, 110]","[12, 4, 5]",21.4,19.47,23.47,2
65,"[120, 10]","[13, 4, 8]",9.5,35.4,23.93,1
66,"[120, 121]","[9, 0, 1]",19.6,26.97,29.67,2
67,"[110, 120]","[5, 4, 13]",25.4,26.17,30.18,2
68,"[21, 110]","[1, 4, 7]",27.0,31.47,35.45,2
69,[20],"[11, 4]",2.0,10.8,12.8,1
70,[121],"[1, 3]",4.0,11.08,13.08,1
71,[120],"[9, 11]",2.0,3.8,5.8,1
72,-,-,-,-,32.53,2
73,[120],"[0, 10]",7.6,28.17,24.2,1
74,[20],"[10, 11]",2.0,5.53,7.53,1
75,[120],"[9, 14]",2.0,12.55,14.55,1
76,-,-,-,-,15.85,1
77,"[10, 120]","[8, 4, 10]",10.5,18.83,12.32,1
78,"[110, 120]","[6, 4, 14]",6.0,34.88,34.25,2
79,[21],"[0, 4]",4.0,26.08,28.0,1
80,-,-,-,-,23.35,2
81,[10],"[8, 5]",2.0,9.23,11.23,1
82,"[110, 120]","[7, 4, 12]",8.3,27.25,25.9,2
83,"[121, 10]","[2, 4, 8]",17.7,27.7,31.68,2
84,-,-,-,-,30.58,2
85,"[120, 10]","[13, 8, 7]",21.6,32.72,31.32,2
86,"[20, 21]","[13, 0, 3]",10.8,28.0,32.0,2
87,[20],"[12, 14]",2.0,6.72,8.72,1
88,[110],"[8, 4]",10.0,17.75,14.92,1
89,[120],"[10, 4]",2.0,5.92,7.92,1
90,[120],"[11, 9]",2.0,3.8,5.8,1
91,-,-,-,-,33.15,2
92,"[21, 20]","[3, 4, 11]",4.0,20.03,24.03,2
93,"[10, 20]","[5, 8, 11]",12.4,25.08,18.5,2
94,"[121, 120]","[1, 4, 11]",12.8,31.12,27.17,2
95,"[21, 20]","[3, 4, 9]",25.0,21.05,25.05,2
96,"[20, 110]","[10, 8, 7]",4.0,15.7,19.7,2
97,-,-,-,-,18.52,1
98,[20],"[9, 4]",2.0,11.82,13.82,1
99,[120],"[11, 12]",2.0,4.97,6.97,1
