number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,08:33:08,['47'],[]
2,2,08:38:35,08:40:35,"['54', '27']",[]
3,3,08:46:02,08:48:02,[],['47']
4,5,08:53:11,08:55:11,['32'],[]
5,6,08:57:45,08:59:45,"['8', '31']","['54', '27']"
6,19,09:02:37,09:04:37,[],['32']
7,20,09:07:29,09:09:29,[],"['31', '8']"
8,18,09:13:20,09:15:20,['37'],[]
9,6,09:18:12,09:20:12,['3'],[]
10,1,09:33:37,09:37:00,['7'],[]
11,0,09:41:38,10:13:40,['41'],"['7', '37', '3']"
12,2,10:19:07,10:21:07,['23'],['41']
13,6,10:33:19,10:43:50,['49'],['23']
14,2,10:56:02,11:07:34,[],['49']
15,0,11:13:01,19:00:00,[],[]
