number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,07:00:00,[],[]
2,14,07:05:32,08:37:00,['2'],[]
3,16,08:41:26,08:47:00,['5'],[]
4,4,08:50:44,09:02:00,"['4', '16']","['2', '5']"
5,16,09:05:44,09:12:00,['26'],['4']
6,15,09:14:46,09:22:00,['14'],"['26', '16']"
7,18,09:37:18,09:39:18,[],['14']
8,17,09:43:31,10:02:00,['18'],[]
9,4,10:06:54,10:20:10,['37'],[]
10,16,10:23:54,10:25:54,[],['37']
11,15,10:28:40,10:30:40,[],['18']
12,19,10:45:55,10:47:55,['0'],[]
13,18,10:50:00,10:52:00,['25'],['0']
14,4,11:01:00,11:06:16,"['23', '35']",['25']
15,16,11:10:00,11:12:00,['10'],['35']
16,14,11:16:26,11:18:26,[],"['23', '10']"
17,0,11:23:58,19:00:00,[],[]
