number,stop ID,arrival time,departure time,pick up users,drop of users
1,21,07:00:00,07:00:00,[],[]
2,17,07:12:55,08:02:00,['37'],[]
3,15,08:08:39,08:22:00,['19'],[]
4,0,08:24:46,08:38:26,['56'],"['19', '37']"
5,18,08:50:00,08:52:00,['1'],[]
6,21,09:01:14,09:09:44,[],"['56', '1']"
7,20,09:13:26,09:22:00,['20'],[]
8,21,09:25:42,09:34:30,"['49', '59']",['20']
9,20,09:38:12,09:45:15,['34'],"['49', '59']"
10,17,09:54:29,09:56:29,[],['34']
11,0,10:05:00,10:07:00,['29'],[]
12,21,10:27:10,10:29:10,[],['29']
13,19,10:35:38,11:09:39,['43'],[]
14,17,11:16:07,11:27:00,"['30', '64']",[]
15,0,11:35:31,11:38:51,"['38', '77']","['30', '64', '43']"
16,19,11:52:55,11:54:55,[],['38']
17,21,12:01:23,12:40:14,"['75', '2']",['77']
18,18,12:49:28,13:06:02,['63'],['75']
19,17,13:09:44,13:11:44,[],['2']
20,0,13:20:15,13:47:50,['9'],['63']
21,16,13:54:18,13:56:18,[],['9']
22,15,14:00:00,14:02:00,['31'],[]
23,0,14:04:46,14:07:14,['45'],['31']
24,15,14:10:00,14:12:00,['6'],[]
25,19,14:23:34,14:42:34,[],"['45', '6']"
26,21,14:49:02,19:00:00,[],[]
