user ID,used buses,used transfer points,waiting time,ride time,shortest time possible,number of transfers(for shortest)
0,-,-,-,-,36.23,3
1,"[10, 20, 14]","[5, 8, 13, 24]",11.8,42.5,39.22,3
2,-,-,-,-,41.02,2
3,"[110, 120]","[7, 8, 11]",19.1,21.23,23.1,2
4,"[120, 121]","[10, 0, 1]",4.0,28.38,30.22,2
5,-,-,-,-,42.5,3
6,-,-,-,-,19.7,2
7,[20],"[11, 12]",2.0,4.97,6.97,1
8,-,-,-,-,21.98,2
9,"[130, 21]","[20, 0, 3]",12.9,34.37,37.48,2
10,"[130, 121]","[19, 0, 3]",13.9,31.6,34.92,2
11,-,-,-,-,19.52,2
12,"[10, 21]","[6, 4, 2]",26.0,23.48,27.47,2
13,[20],"[14, 13]",2.0,3.7,5.7,1
14,[30],"[0, 21]",2.0,20.17,22.17,1
15,[20],"[11, 14]",4.0,15.37,13.08,1
16,[130],"[21, 19]",2.0,6.47,8.47,1
17,"[130, 121, 110]","[18, 0, 4, 6]",28.4,47.68,52.27,3
18,[30],"[16, 21]",2.0,14.07,16.07,1
19,-,-,-,-,54.77,3
20,"[21, 120]","[1, 4, 11]",17.1,31.12,27.17,2
21,-,-,-,-,45.8,2
22,-,-,-,-,45.35,3
23,"[121, 130]","[2, 0, 17]",5.8,19.93,23.93,2
24,"[130, 21, 110]","[19, 0, 4, 6]",13.6,49.23,54.77,3
25,"[110, 121]","[5, 4, 0]",13.5,29.68,33.7,2
26,-,-,-,-,45.8,2
27,"[14, 20]","[21, 13, 14]",4.0,17.42,21.42,2
28,"[14, 120]","[23, 13, 11]",8.6,18.35,22.33,2
29,"[30, 114]","[16, 21, 22]",19.4,19.6,23.6,2
30,[30],"[21, 19]",2.0,6.47,8.47,1
31,-,-,-,-,45.9,3
32,[20],"[12, 14]",4.0,10.42,8.72,1
33,"[20, 21]","[13, 0, 1]",12.5,17.83,21.35,2
34,"[30, 114]","[15, 21, 22]",25.8,23.28,27.05,2
35,"[130, 121, 110]","[18, 0, 4, 5]",26.4,41.77,47.27,3
36,"[121, 120, 14]","[3, 0, 13, 24]",29.4,35.62,41.03,3
37,"[120, 121]","[11, 0, 3]",9.4,35.67,24.03,2
38,[110],"[4, 7]",2.0,11.15,13.15,1
39,[114],"[25, 22]",2.0,8.52,10.52,1
40,"[20, 130]","[11, 0, 20]",10.0,36.55,35.1,3
41,[120],"[0, 14]",2.0,7.93,9.93,1
42,"[130, 114]","[20, 21, 13]",10.0,24.68,21.42,2
43,-,-,-,-,22.17,1
44,"[120, 130]","[12, 0, 18]",11.2,26.05,29.42,2
45,[130],"[19, 18]",2.0,2.77,4.77,1
46,[114],"[21, 23]",2.0,14.33,16.33,1
47,-,-,-,-,42.75,2
48,"[30, 114]","[16, 21, 13]",4.0,27.78,21.62,2
49,-,-,-,-,40.2,2
50,-,-,-,-,41.8,3
51,-,-,-,-,44.07,2
52,[20],"[8, 13]",6.0,26.25,23.93,1
53,"[130, 21]","[15, 0, 2]",5.0,14.18,18.18,2
54,-,-,-,-,30.13,3
55,"[110, 121, 130]","[7, 4, 0, 17]",26.9,46.13,50.13,3
56,"[130, 20]","[15, 0, 14]",4.0,10.72,14.7,2
57,-,-,-,-,48.87,3
58,"[110, 120]","[7, 8, 10]",17.1,15.7,19.7,2
59,"[120, 10]","[12, 8, 5]",15.7,28.77,23.47,2
60,-,-,-,-,22.72,2
61,[120],"[14, 9]",8.0,19.18,14.55,1
62,"[14, 20]","[25, 13, 14]",20.0,6.62,10.62,2
63,[10],"[7, 4]",18.7,11.48,13.15,1
64,[130],"[15, 17]",2.0,6.65,8.65,1
65,[30],"[21, 18]",4.0,9.23,11.23,1
66,"[30, 120]","[15, 0, 13]",10.9,14.4,17.92,2
67,-,-,-,-,36.8,2
68,"[20, 130]","[10, 0, 19]",24.9,39.33,40.27,2
69,[20],"[9, 13]",4.0,15.48,14.0,1
70,[10],"[8, 6]",4.0,8.15,9.22,1
71,"[20, 21]","[12, 0, 1]",14.5,24.55,24.05,2
72,[110],"[6, 5]",2.0,5.92,7.92,1
73,"[30, 120]","[18, 0, 9]",18.9,39.13,35.03,2
74,-,-,-,-,30.0,3
75,"[21, 20, 14]","[3, 0, 13, 22]",24.2,38.92,44.32,3
76,"[14, 120]","[22, 13, 12]",9.4,22.47,21.03,2
77,-,-,-,-,35.1,3
78,[10],"[5, 8]",2.0,9.23,11.23,1
79,[130],"[18, 19]",2.0,2.77,4.77,1
80,[10],"[7, 5]",4.0,8.68,9.93,1
81,[21],"[3, 0]",4.0,16.95,18.85,1
82,[130],"[15, 19]",4.0,13.12,13.57,1
83,-,-,-,-,35.03,2
84,"[114, 30]","[23, 21, 20]",8.6,18.02,22.03,2
85,-,-,-,-,40.65,3
86,"[110, 21]","[5, 4, 2]",24.0,18.47,22.47,2
87,-,-,-,-,21.03,2
88,-,-,-,-,51.6,4
89,"[110, 121, 130]","[7, 4, 0, 19]",28.9,52.6,55.5,4
