number,stop ID,arrival time,departure time,pick up users,drop of users
1,8,07:00:00,07:00:00,[],[]
2,11,07:13:43,08:47:00,['56'],[]
3,14,08:58:05,09:00:05,['45'],['56']
4,0,09:08:01,09:10:40,"['33', '40']",['45']
5,14,09:18:36,09:20:36,[],"['33', '40']"
6,13,09:24:18,09:26:18,['6'],[]
7,14,09:30:00,09:32:00,"['67', '38']",['6']
8,12,09:38:43,09:40:43,['30'],['38']
9,4,09:56:29,09:58:29,[],"['67', '30']"
10,11,10:09:17,10:17:00,['39'],[]
11,9,10:20:48,10:22:48,[],['39']
12,8,10:33:34,10:45:59,"['43', '1']",[]
13,11,10:59:42,11:01:42,[],['1']
14,12,11:06:40,11:08:40,[],['43']
15,14,11:15:23,11:37:00,"['2', '47']",[]
16,4,11:58:33,12:00:33,['25'],"['2', '47']"
17,10,12:06:28,12:08:28,[],['25']
18,4,12:14:23,12:41:55,['23'],[]
19,9,12:53:44,12:57:00,['28'],['23']
20,0,13:16:28,13:22:00,['64'],['28']
21,8,13:52:14,15:21:13,['66'],['64']
22,9,15:31:59,15:33:59,[],['66']
23,10,15:39:54,15:52:00,['54'],[]
24,4,15:57:55,15:59:55,['7'],['54']
25,11,16:10:43,16:37:00,['4'],['7']
26,8,16:50:43,19:00:00,[],['4']
