user ID,used buses,used transfer points,waiting time,ride time,shortest time possible,number of transfers(for shortest)
0,"[16, 0]","[10, 6, 19]",8.0,18.72,17.23,2
1,[16],"[9, 12]",2.0,6.43,8.43,1
2,"[0, 16]","[1, 0, 12]",8.5,24.92,27.78,2
3,"[6, 0]","[16, 6, 2]",4.0,14.02,18.02,2
4,"[0, 6]","[3, 6, 14]",4.0,14.63,18.63,2
5,[10],"[0, 2]",2.0,5.45,7.45,1
6,[6],"[10, 11]",2.0,3.85,5.85,1
7,[10],"[3, 0]",2.0,10.92,12.92,1
8,"[16, 0]","[9, 6, 20]",17.6,23.67,21.25,2
9,[16],"[6, 10]",2.0,10.37,12.37,1
10,[10],"[4, 20]",2.0,8.23,10.23,1
11,"[16, 10]","[11, 6, 4]",22.9,17.7,20.58,2
12,"[0, 6]","[2, 6, 16]",4.0,14.02,18.02,2
13,"[0, 16]","[1, 0, 13]",10.5,27.48,26.78,2
14,[0],"[19, 5]",2.0,4.63,6.63,1
15,"[0, 16]","[5, 6, 11]",21.5,16.8,19.3,2
16,[10],"[0, 6]",4.0,17.57,19.25,1
17,"[16, 10]","[10, 0, 5]",6.6,29.37,16.93,2
18,[6],"[8, 15]",2.0,9.08,11.08,1
19,[6],"[14, 15]",2.0,2.57,4.57,1
20,[0],"[1, 5]",7.7,11.2,12.98,1
21,"[6, 0]","[8, 6, 19]",4.0,15.53,19.53,2
22,[10],"[18, 17]",2.0,2.57,4.57,1
23,"[16, 10]","[14, 6, 5]",18.9,9.5,13.48,2
24,"[0, 16]","[17, 6, 15]",19.0,7.52,11.5,2
25,[0],"[18, 20]",2.0,3.85,5.85,1
26,[16],"[12, 15]",2.0,5.75,7.75,1
27,[0],"[2, 4]",2.0,8.62,10.62,1
28,"[0, 6]","[17, 6, 13]",4.0,12.23,16.23,2
29,[16],"[12, 0]",17.9,22.08,21.63,1
