number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,08:28:47,[],[]
2,1,08:33:25,08:35:25,"['51', '37']",[]
3,2,08:36:42,08:38:42,['70'],[]
4,4,08:47:19,08:49:19,['52'],[]
5,5,08:50:36,08:52:36,['73'],"['70', '52']"
6,6,08:55:10,08:57:09,[],"['51', '73']"
7,17,09:00:01,09:02:02,[],['37']
8,6,09:04:54,09:06:54,['55'],[]
9,4,09:10:45,09:12:45,[],['55']
10,17,09:19:18,09:21:18,"['27', '25']",[]
11,6,09:24:10,09:42:49,['71'],"['27', '25']"
12,0,10:00:04,10:21:06,['12'],['71']
13,4,10:35:00,10:37:00,['76'],[]
14,6,10:40:51,10:49:50,"['15', '50', '38']","['12', '76']"
15,3,10:57:33,10:59:33,[],['15']
16,2,11:05:00,11:07:00,"['69', '32']",[]
17,1,11:08:17,11:10:17,[],"['50', '38']"
18,0,11:14:55,12:33:32,['72'],"['69', '32']"
19,1,12:38:10,12:52:00,['60'],['72']
20,6,13:05:25,13:07:25,['33'],[]
21,17,13:10:17,13:12:17,[],['33']
22,6,13:15:09,13:17:09,"['23', '77']",[]
23,19,13:20:01,13:22:01,[],['23']
24,20,13:24:53,13:26:53,[],"['60', '77']"
25,19,13:29:45,13:31:45,['7'],[]
26,18,13:33:34,13:35:34,['65'],['7']
27,6,13:38:26,13:42:00,['54'],['65']
28,3,13:49:43,13:51:43,[],['54']
29,2,13:57:10,13:59:10,"['20', '34']",[]
30,4,14:07:47,14:09:47,['64'],[]
31,6,14:13:38,14:15:38,[],"['34', '20', '64']"
32,0,14:32:53,19:00:00,[],[]
