number,stop ID,arrival time,departure time,pick up users,drop of users
1,6,07:00:00,08:04:01,[],[]
2,10,08:14:23,08:16:23,['27'],[]
3,16,08:25:00,08:27:00,['7'],[]
4,6,08:28:49,08:36:30,[],"['27', '7']"
5,7,08:48:09,09:11:09,['48'],[]
6,8,09:15:00,09:17:00,"['38', '36']",[]
7,10,09:19:34,09:21:34,[],['36']
8,6,09:31:56,09:49:09,"['56', '39']","['38', '48']"
9,14,09:56:04,09:58:04,[],['39']
10,11,10:04:59,10:09:30,[],['56']
11,12,10:13:21,10:15:21,['44'],[]
12,6,10:25:43,10:27:43,['30'],['44']
13,11,10:40:27,10:45:44,['32'],['30']
14,16,10:56:39,10:58:39,[],['32']
15,7,11:08:56,11:10:56,['72'],[]
16,9,11:15:00,11:17:00,['1'],[]
17,15,11:24:49,11:26:49,['47'],['72']
18,6,11:31:27,11:49:39,"['21', '3']","['1', '47']"
19,16,11:51:28,11:53:28,[],['3']
20,14,11:58:46,12:00:46,[],['21']
21,6,12:07:41,12:09:41,['68'],[]
22,12,12:20:03,12:22:26,"['17', '5']",['68']
23,13,12:25:00,12:27:00,['11'],[]
24,14,12:29:34,12:31:34,[],['11']
25,6,12:38:29,12:44:31,['33'],"['17', '5']"
26,16,12:46:20,13:02:00,['75'],[]
27,10,13:10:37,13:12:37,[],['75']
28,8,13:15:11,13:17:11,['64'],['33']
29,0,13:30:36,13:41:30,['22'],['64']
30,7,13:51:18,13:57:00,"['50', '26']",[]
31,8,14:00:51,14:02:51,[],['26']
32,9,14:04:08,14:12:27,[],['22']
33,6,14:23:57,19:00:00,[],['50']
