number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,07:00:00,[],[]
2,2,07:07:08,08:22:00,['8'],[]
3,1,08:25:28,10:12:00,['23'],['8']
4,2,10:15:28,10:22:00,['19'],[]
5,6,10:29:22,10:31:22,[],"['23', '19']"
6,5,10:32:04,10:37:00,['35'],[]
7,1,10:47:34,12:03:00,['18'],['35']
8,0,12:09:14,12:25:14,[],['18']
9,6,12:39:38,13:07:00,['14'],[]
10,3,13:12:43,14:35:40,['26'],['14']
11,5,14:41:35,15:42:00,['7'],['26']
12,1,15:52:34,15:56:10,[],['7']
13,3,16:03:05,16:32:00,['13'],[]
14,2,16:35:28,16:37:28,[],['13']
15,4,16:44:23,16:53:27,['44'],[]
16,3,16:56:55,17:13:10,['0'],['44']
17,0,17:22:29,19:00:00,[],['0']
