user ID,used buses,used transfer points,waiting time,ride time,shortest time possible,number of transfers(for shortest)
0,[24],"[16, 15]",2.0,2.77,4.77,1
1,[14],"[20, 14]",6.0,22.02,22.37,1
2,[29],"[3, 10]",2.0,9.78,11.78,1
3,[19],"[11, 7]",6.0,18.73,19.65,1
4,[24],"[18, 19]",2.0,2.08,4.08,1
5,-,-,-,-,22.85,3
6,-,-,-,-,34.47,3
7,[29],"[10, 13]",6.0,10.43,9.45,1
8,"[19, 18]","[9, 3, 1]",20.6,14.53,18.53,2
9,[14],"[18, 16]",2.0,12.53,14.53,1
10,"[29, 28]","[7, 3, 1]",16.6,14.05,13.7,2
11,-,-,-,-,29.87,3
12,[28],"[1, 2]",2.0,3.47,5.47,1
13,"[19, 28, 24]","[10, 3, 4, 15]",26.9,19.7,25.63,3
14,[19],"[10, 7]",11.9,16.98,18.05,1
15,[24],"[16, 17]",2.0,8.57,10.57,1
16,[19],"[8, 9]",2.0,3.47,5.47,1
17,"[18, 19]","[4, 3, 12]",22.9,20.13,24.13,2
18,-,-,-,-,31.0,3
19,[28],"[6, 3]",2.0,5.72,7.72,1
20,-,-,-,-,17.25,1
21,"[18, 14]","[3, 4, 19]",8.1,13.35,16.7,2
22,-,-,-,-,18.67,1
23,[24],"[4, 18]",2.0,9.0,11.0,1
24,-,-,-,-,22.37,1
25,-,-,-,-,26.58,2
26,"[18, 19]","[2, 3, 8]",20.0,7.62,11.62,2
27,[24],"[18, 14]",4.0,16.97,17.98,1
28,"[29, 18, 24]","[12, 3, 4, 14]",28.0,28.03,33.03,2
29,[29],"[3, 11]",16.1,12.07,13.08,1
30,-,-,-,-,20.15,2
31,[14],"[16, 20]",8.0,18.52,19.3,1
32,"[14, 18]","[17, 4, 3]",12.1,8.35,12.37,2
33,[19],"[10, 9]",2.0,2.5,4.5,1
34,"[24, 28]","[0, 4, 3]",6.6,15.57,11.32,1
35,"[14, 28, 29]","[16, 4, 3, 13]",24.1,27.73,29.87,3
36,[19],"[3, 11]",17.9,11.08,13.08,1
37,-,-,-,-,26.32,3
38,-,-,-,-,23.63,2
39,-,-,-,-,28.17,2
40,"[28, 19]","[6, 3, 0]",18.1,16.3,16.4,1
41,[19],"[13, 7]",8.0,24.43,25.35,1
42,"[24, 18, 19]","[16, 4, 3, 12]",25.2,23.87,29.87,3
43,"[28, 14]","[5, 4, 16]",14.3,9.43,13.45,2
44,"[29, 18]","[11, 3, 0]",11.3,22.33,20.63,1
45,[18],"[0, 2]",2.0,7.13,9.13,1
46,"[24, 29]","[15, 0, 13]",10.0,35.28,32.52,3
47,-,-,-,-,20.82,3
48,[24],"[15, 19]",9.4,17.62,17.25,1
49,"[18, 14]","[2, 4, 17]",8.1,11.82,15.82,2
50,[24],"[15, 14]",2.0,3.47,5.47,1
51,[28],"[6, 1]",4.0,12.63,11.98,1
52,-,-,-,-,32.52,3
53,-,-,-,-,21.5,3
54,"[14, 28]","[16, 4, 6]",21.0,9.65,13.65,2
55,-,-,-,-,22.98,3
56,-,-,-,-,15.08,2
57,"[28, 29]","[4, 3, 12]",8.8,20.18,24.13,2
58,[14],"[18, 0]",6.0,22.52,20.43,1
59,-,-,-,-,24.82,2
60,[14],"[14, 4]",2.0,7.9,9.9,1
61,"[29, 18]","[12, 3, 6]",6.0,26.05,26.38,2
62,[14],"[18, 19]",2.0,2.08,4.08,1
63,[19],"[9, 11]",2.0,3.47,5.47,1
64,[29],"[13, 7]",11.3,24.58,25.35,1
65,[24],"[18, 16]",2.0,12.53,14.53,1
66,"[24, 29]","[16, 0, 12]",10.2,35.28,29.87,3
67,[18],"[0, 3]",4.0,10.58,11.32,1
68,"[28, 24]","[2, 4, 18]",18.8,15.92,19.92,2
69,[18],"[0, 6]",11.9,16.3,16.4,1
70,"[29, 18]","[10, 3, 2]",4.0,13.25,17.25,2
71,-,-,-,-,16.88,2
72,[28],"[6, 4]",2.0,5.92,7.92,1
73,[18],"[3, 2]",2.0,3.47,5.47,1
74,-,-,-,-,16.88,2
75,[29],"[9, 12]",16.1,10.17,11.1,1
76,"[19, 28, 24]","[8, 3, 4, 15]",22.6,14.0,20.0,3
77,"[24, 29]","[16, 0, 13]",12.2,38.05,29.87,3
78,-,-,-,-,17.48,1
79,"[28, 19]","[2, 3, 12]",23.0,20.25,24.13,2
